1.14474e-04 6.21365e+04  5.32615e+04 5.32615e+04 
2.28949e-04 8.52096e+04  1.67359e+05 1.94496e+05 
3.43399e-04 9.34099e+04  3.58032e+05 3.95704e+05 
4.57771e-04 7.11194e+04  6.43293e+05 6.53744e+05 
5.72143e-04 5.93415e+04  9.88899e+05 9.88947e+05 
6.86508e-04 5.92616e+04  1.42063e+06 1.42067e+06 
8.00872e-04 6.89723e+04  1.93765e+06 1.94656e+06 
9.15225e-04 8.58857e+04  2.51712e+06 2.54674e+06 
1.02955e-03 8.08774e+04  3.18337e+06 3.20673e+06 
1.14382e-03 6.47208e+04  3.92735e+06 3.93242e+06 
1.25808e-03 5.97117e+04  4.74070e+06 4.74200e+06 
1.37234e-03 6.24418e+04  5.64151e+06 5.64466e+06 
1.48659e-03 7.43653e+04  6.61528e+06 6.63155e+06 
1.60082e-03 8.17449e+04  7.66137e+06 7.68670e+06 
1.71502e-03 7.21141e+04  8.79112e+06 8.80488e+06 
1.82919e-03 6.24737e+04  9.99240e+06 9.99620e+06 
1.94334e-03 6.11475e+04  1.12708e+07 1.12736e+07 
2.05748e-03 6.67340e+04  1.26302e+07 1.26383e+07 
2.17162e-03 7.63122e+04  1.40603e+07 1.40795e+07 
2.28572e-03 7.60900e+04  1.55680e+07 1.55870e+07 
2.39980e-03 6.71452e+04  1.71533e+07 1.71620e+07 
2.51386e-03 6.22489e+04  1.88109e+07 1.88149e+07 
2.62790e-03 6.35841e+04  2.05476e+07 2.05528e+07 
2.74193e-03 7.02470e+04  2.23595e+07 2.23719e+07 
2.85594e-03 7.52437e+04  2.42442e+07 2.42625e+07 
2.96993e-03 7.12014e+04  2.62065e+07 2.62200e+07 
3.08389e-03 6.48850e+04  2.82427e+07 2.82494e+07 
3.19783e-03 6.31714e+04  3.03535e+07 3.03586e+07 
3.31176e-03 6.63748e+04  3.25414e+07 3.25497e+07 
3.42568e-03 7.19007e+04  3.48022e+07 3.48167e+07 
3.53957e-03 7.26743e+04  3.71376e+07 3.71530e+07 
3.65344e-03 6.79221e+04  3.95482e+07 3.95582e+07 
3.76729e-03 6.43050e+04  4.20320e+07 4.20382e+07 
3.88112e-03 6.47787e+04  4.45911e+07 4.45978e+07 
3.99494e-03 6.86282e+04  4.72245e+07 4.72354e+07 
4.10874e-03 7.17443e+04  4.99308e+07 4.99452e+07 
4.22251e-03 6.99916e+04  5.27115e+07 5.27239e+07 
4.33627e-03 6.61792e+04  5.55656e+07 5.55739e+07 
4.45000e-03 6.47371e+04  5.84931e+07 5.84999e+07 
4.56372e-03 6.65545e+04  6.14950e+07 6.15037e+07 
4.67742e-03 6.97821e+04  6.45696e+07 6.45819e+07 
4.79111e-03 7.05077e+04  6.77172e+07 6.77303e+07 
