1.23266e-04 5.48236e+04  5.66303e+04 5.66303e+04 
2.46531e-04 8.11603e+04  1.69311e+05 2.01345e+05 
3.69761e-04 7.42497e+04  3.78631e+05 4.01740e+05 
4.92942e-04 5.21089e+04  6.67355e+05 6.67137e+05 
6.16097e-04 4.96472e+04  1.02912e+06 1.02904e+06 
7.39252e-04 5.81520e+04  1.48955e+06 1.49508e+06 
8.62399e-04 7.68099e+04  2.01205e+06 2.04035e+06 
9.85510e-04 6.68976e+04  2.62895e+06 2.64490e+06 
1.10858e-03 5.18811e+04  3.31964e+06 3.32091e+06 
1.23163e-03 5.08295e+04  4.09160e+06 4.09251e+06 
1.35467e-03 6.07477e+04  4.95103e+06 4.96076e+06 
1.47770e-03 7.25234e+04  5.88007e+06 5.90410e+06 
1.60069e-03 6.21441e+04  6.89878e+06 6.91037e+06 
1.72365e-03 5.20650e+04  7.99044e+06 7.99277e+06 
1.84659e-03 5.25553e+04  9.16619e+06 9.16880e+06 
1.96952e-03 6.23761e+04  1.04227e+07 1.04352e+07 
2.09244e-03 6.86371e+04  1.17541e+07 1.17740e+07 
2.21531e-03 5.91532e+04  1.31703e+07 1.31793e+07 
2.33816e-03 5.25528e+04  1.46606e+07 1.46638e+07 
2.46099e-03 5.44451e+04  1.62347e+07 1.62393e+07 
2.58381e-03 6.30753e+04  1.78862e+07 1.79000e+07 
2.70661e-03 6.53312e+04  1.96154e+07 1.96318e+07 
2.82937e-03 5.73474e+04  2.14255e+07 2.14331e+07 
2.95211e-03 5.32748e+04  2.33114e+07 2.33154e+07 
3.07483e-03 5.62046e+04  2.52792e+07 2.52858e+07 
3.19754e-03 6.30260e+04  2.73232e+07 2.73372e+07 
3.32022e-03 6.26656e+04  2.94457e+07 2.94593e+07 
3.44288e-03 5.63395e+04  3.16466e+07 3.16534e+07 
3.56550e-03 5.41579e+04  3.39243e+07 3.39293e+07 
3.68812e-03 5.76399e+04  3.62819e+07 3.62902e+07 
3.81071e-03 6.24608e+04  3.87153e+07 3.87289e+07 
3.93328e-03 6.06190e+04  4.12271e+07 4.12385e+07 
4.05582e-03 5.58743e+04  4.38156e+07 4.38222e+07 
4.17834e-03 5.51145e+04  4.64814e+07 4.64873e+07 
4.30084e-03 5.86565e+04  4.92253e+07 4.92347e+07 
4.42333e-03 6.16060e+04  5.20448e+07 5.20575e+07 
4.54578e-03 5.91239e+04  5.49419e+07 5.49518e+07 
4.66821e-03 5.57807e+04  5.79149e+07 5.79215e+07 
4.79062e-03 5.60504e+04  6.09650e+07 6.09719e+07 
4.91302e-03 5.92445e+04  6.40917e+07 6.41018e+07 
5.03539e-03 6.06488e+04  6.72940e+07 6.73057e+07 
5.15773e-03 5.80938e+04  7.05727e+07 7.05817e+07 
5.28006e-03 5.59367e+04  7.39270e+07 7.39338e+07 
5.40236e-03 5.68795e+04  7.73577e+07 7.73654e+07 
5.52464e-03 5.94556e+04  8.08638e+07 8.08743e+07 
5.64690e-03 5.97248e+04  8.44454e+07 8.44561e+07 
5.76914e-03 5.74401e+04  8.81024e+07 8.81107e+07 
5.89135e-03 5.62463e+04  9.18345e+07 9.18417e+07 
6.01354e-03 5.75382e+04  9.56422e+07 9.56506e+07 
6.13571e-03 5.93775e+04  9.95247e+07 9.95350e+07 
6.25786e-03 5.89190e+04  1.03482e+08 1.03492e+08 
6.37999e-03 5.70799e+04  1.07514e+08 1.07522e+08 
6.50209e-03 5.66285e+04  1.11621e+08 1.11628e+08 
6.62418e-03 5.79935e+04  1.15802e+08 1.15811e+08 
6.74624e-03 5.91094e+04  1.20057e+08 1.20067e+08 
6.86828e-03 5.82734e+04  1.24387e+08 1.24396e+08 
6.99030e-03 5.69387e+04  1.28790e+08 1.28798e+08 
7.11229e-03 5.70149e+04  1.33268e+08 1.33276e+08 
7.23427e-03 5.82442e+04  1.37820e+08 1.37829e+08 
7.35623e-03 5.87444e+04  1.42445e+08 1.42455e+08 
7.47816e-03 5.77988e+04  1.47143e+08 1.47152e+08 
7.60007e-03 5.69496e+04  1.51915e+08 1.51923e+08 
7.72195e-03 5.73520e+04  1.56761e+08 1.56769e+08 
7.84382e-03 5.83158e+04  1.61679e+08 1.61689e+08 
7.96567e-03 5.83581e+04  1.66671e+08 1.66680e+08 
8.08749e-03 5.74841e+04  1.71735e+08 1.71744e+08 
8.20929e-03 5.70528e+04  1.76872e+08 1.76880e+08 
8.33107e-03 5.76042e+04  1.82082e+08 1.82091e+08 
8.45283e-03 5.82504e+04  1.87365e+08 1.87374e+08 
8.57457e-03 5.80037e+04  1.92719e+08 1.92728e+08 
8.69629e-03 5.73053e+04  1.98146e+08 1.98154e+08 
8.81798e-03 5.71967e+04  2.03645e+08 2.03653e+08 
8.93965e-03 5.77560e+04  2.09216e+08 2.09225e+08 
9.06131e-03 5.80969e+04  2.14859e+08 2.14868e+08 
9.18294e-03 5.77126e+04  2.20574e+08 2.20583e+08 
9.30455e-03 5.72309e+04  2.26360e+08 2.26368e+08 
9.42613e-03 5.73393e+04  2.32218e+08 2.32226e+08 
9.54770e-03 5.78096e+04  2.38147e+08 2.38156e+08 
9.66925e-03 5.79018e+04  2.44148e+08 2.44157e+08 
9.79077e-03 5.74971e+04  2.50219e+08 2.50228e+08 
9.91227e-03 5.72269e+04  2.56362e+08 2.56370e+08 
1.00000e-02 5.73412e+04  2.60842e+08 2.60850e+08 
