1.14474e-04 5.30344e+04  4.67148e+04 4.67148e+04 
2.28949e-04 7.50223e+04  1.37032e+05 1.65144e+05 
3.43394e-04 7.22677e+04  3.02364e+05 3.26725e+05 
4.57754e-04 5.25726e+04  5.35891e+05 5.37170e+05 
5.72132e-04 4.89712e+04  8.22603e+05 8.22822e+05 
6.86507e-04 5.34501e+04  1.19141e+06 1.19396e+06 
8.00878e-04 6.90278e+04  1.61139e+06 1.63323e+06 
9.15223e-04 6.78581e+04  2.10056e+06 2.12085e+06 
1.02951e-03 5.36183e+04  2.65669e+06 2.66036e+06 
1.14380e-03 4.98286e+04  3.27043e+06 3.27162e+06 
1.25807e-03 5.39417e+04  3.95855e+06 3.96282e+06 
1.37234e-03 6.51682e+04  4.70335e+06 4.72117e+06 
1.48659e-03 6.46532e+04  5.51437e+06 5.53153e+06 
1.60080e-03 5.43426e+04  6.39103e+06 6.39625e+06 
1.71499e-03 5.08970e+04  7.32774e+06 7.33012e+06 
1.82917e-03 5.44324e+04  8.33413e+06 8.33960e+06 
1.94334e-03 6.26121e+04  9.39997e+06 9.41512e+06 
2.05749e-03 6.23264e+04  1.05304e+07 1.05452e+07 
2.17160e-03 5.48234e+04  1.17252e+07 1.17314e+07 
2.28570e-03 5.19345e+04  1.29814e+07 1.29849e+07 
2.39978e-03 5.48762e+04  1.43043e+07 1.43106e+07 
2.51385e-03 6.08705e+04  1.56879e+07 1.57013e+07 
2.62790e-03 6.06328e+04  1.71351e+07 1.71482e+07 
2.74192e-03 5.51360e+04  1.86458e+07 1.86526e+07 
2.85592e-03 5.28410e+04  2.02183e+07 2.02228e+07 
2.96991e-03 5.52508e+04  2.18555e+07 2.18625e+07 
3.08388e-03 5.96511e+04  2.35541e+07 2.35661e+07 
3.19783e-03 5.93937e+04  2.53154e+07 2.53271e+07 
3.31176e-03 5.53384e+04  2.71394e+07 2.71465e+07 
3.42567e-03 5.35890e+04  2.90253e+07 2.90306e+07 
3.53956e-03 5.55492e+04  3.09746e+07 3.09820e+07 
3.65343e-03 5.87744e+04  3.29853e+07 3.29964e+07 
3.76729e-03 5.84813e+04  3.50581e+07 3.50688e+07 
3.88112e-03 5.54707e+04  3.71929e+07 3.72003e+07 
3.99493e-03 5.41848e+04  3.93894e+07 3.93954e+07 
4.10872e-03 5.57744e+04  4.16484e+07 4.16561e+07 
4.22250e-03 5.81275e+04  4.39685e+07 4.39789e+07 
4.33626e-03 5.78046e+04  4.63502e+07 4.63602e+07 
4.45000e-03 5.55591e+04  4.87934e+07 4.88009e+07 
4.56371e-03 5.46477e+04  5.12978e+07 5.13044e+07 
4.67741e-03 5.59344e+04  5.38640e+07 5.38719e+07 
4.79109e-03 5.76384e+04  5.64910e+07 5.65009e+07 
4.90476e-03 5.72992e+04  5.91790e+07 5.91885e+07 
5.01840e-03 5.56200e+04  6.19280e+07 6.19356e+07 
5.13202e-03 5.50003e+04  6.47378e+07 6.47448e+07 
5.24562e-03 5.60394e+04  6.76087e+07 6.76168e+07 
5.35921e-03 5.72600e+04  7.05400e+07 7.05495e+07 
5.47278e-03 5.69189e+04  7.35319e+07 7.35409e+07 
5.58633e-03 5.56631e+04  7.65842e+07 7.65918e+07 
5.69985e-03 5.52639e+04  7.96968e+07 7.97041e+07 
5.81336e-03 5.60997e+04  8.28699e+07 8.28781e+07 
5.92686e-03 5.69610e+04  8.61031e+07 8.61122e+07 
6.04033e-03 5.66306e+04  8.93963e+07 8.94050e+07 
6.15378e-03 5.56940e+04  9.27494e+07 9.27571e+07 
6.26721e-03 5.54566e+04  9.61624e+07 9.61698e+07 
6.38063e-03 5.61249e+04  9.96353e+07 9.96435e+07 
6.49403e-03 5.67202e+04  1.03168e+08 1.03177e+08 
6.60741e-03 5.64103e+04  1.06760e+08 1.06768e+08 
6.72077e-03 5.57159e+04  1.10411e+08 1.10419e+08 
6.83411e-03 5.55936e+04  1.14122e+08 1.14130e+08 
6.94743e-03 5.61233e+04  1.17892e+08 1.17901e+08 
7.06073e-03 5.65232e+04  1.21722e+08 1.21731e+08 
7.17402e-03 5.62405e+04  1.25610e+08 1.25619e+08 
7.28728e-03 5.57304e+04  1.29558e+08 1.29566e+08 
7.40053e-03 5.56869e+04  1.33564e+08 1.33572e+08 
7.51376e-03 5.61020e+04  1.37629e+08 1.37638e+08 
7.62697e-03 5.63596e+04  1.41753e+08 1.41762e+08 
7.74016e-03 5.61080e+04  1.45936e+08 1.45944e+08 
7.85333e-03 5.57384e+04  1.50177e+08 1.50185e+08 
7.96648e-03 5.57460e+04  1.54476e+08 1.54484e+08 
8.07962e-03 5.60666e+04  1.58834e+08 1.58842e+08 
8.19273e-03 5.62220e+04  1.63250e+08 1.63259e+08 
8.30583e-03 5.60034e+04  1.67724e+08 1.67732e+08 
8.41891e-03 5.57403e+04  1.72257e+08 1.72264e+08 
8.53197e-03 5.57786e+04  1.76847e+08 1.76855e+08 
8.64502e-03 5.60214e+04  1.81495e+08 1.81503e+08 
8.75804e-03 5.61051e+04  1.86201e+08 1.86209e+08 
8.87105e-03 5.59193e+04  1.90964e+08 1.90972e+08 
8.98403e-03 5.57365e+04  1.95785e+08 1.95793e+08 
9.09700e-03 5.57904e+04  2.00664e+08 2.00672e+08 
9.20995e-03 5.59701e+04  2.05600e+08 2.05608e+08 
9.32288e-03 5.60047e+04  2.10593e+08 2.10601e+08 
9.43580e-03 5.58502e+04  2.15644e+08 2.15652e+08 
9.54869e-03 5.57273e+04  2.20751e+08 2.20759e+08 
9.66157e-03 5.57864e+04  2.25916e+08 2.25924e+08 
9.77442e-03 5.59153e+04  2.31138e+08 2.31146e+08 
9.88726e-03 5.59176e+04  2.36416e+08 2.36424e+08 
1.00000e-02 5.57921e+04  2.41747e+08 2.41755e+08 
