6.16832e-05 2.86288e+04  2.67978e+04 2.67978e+04 
1.23366e-04 5.89127e+04  5.76664e+04 8.89762e+04 
1.85070e-04 8.19415e+04  9.86534e+04 1.54930e+05 
2.46809e-04 7.14660e+04  1.71162e+05 2.14346e+05 
3.08550e-04 6.34757e+04  2.45582e+05 2.83724e+05 
3.70314e-04 5.51777e+04  3.54384e+05 3.83748e+05 
4.32099e-04 5.30886e+04  4.90318e+05 5.15239e+05 
4.93900e-04 6.28898e+04  6.23524e+05 6.61124e+05 
5.55730e-04 5.03145e+04  7.85691e+05 8.09840e+05 
6.17563e-04 3.02304e+04  9.67417e+05 9.71139e+05 
6.79413e-04 2.71185e+04  1.16369e+06 1.16607e+06 
7.41297e-04 3.67474e+04  1.39303e+06 1.40292e+06 
8.03195e-04 6.36693e+04  1.62952e+06 1.66701e+06 
8.65106e-04 8.11808e+04  1.87969e+06 1.93606e+06 
9.27042e-04 6.94941e+04  2.15970e+06 2.20294e+06 
9.88988e-04 5.29854e+04  2.45295e+06 2.48074e+06 
1.05096e-03 4.19900e+04  2.77010e+06 2.78669e+06 
1.11296e-03 4.25105e+04  3.10760e+06 3.12370e+06 
1.17497e-03 5.21097e+04  3.45302e+06 3.48036e+06 
1.23700e-03 4.73988e+04  3.82515e+06 3.84737e+06 
1.29905e-03 3.55498e+04  4.21948e+06 4.22937e+06 
1.36112e-03 3.50225e+04  4.62911e+06 4.63923e+06 
1.42322e-03 4.62586e+04  5.06129e+06 5.08179e+06 
1.48532e-03 6.60001e+04  5.50582e+06 5.54663e+06 
1.54744e-03 7.38861e+04  5.96954e+06 6.01894e+06 
1.60959e-03 5.95530e+04  6.46086e+06 6.49491e+06 
1.67177e-03 4.29967e+04  6.96720e+06 6.98502e+06 
1.73396e-03 3.64880e+04  7.49095e+06 7.50242e+06 
1.79617e-03 4.09469e+04  8.03396e+06 8.04969e+06 
1.85839e-03 4.85689e+04  8.59441e+06 8.61848e+06 
1.92065e-03 4.58138e+04  9.18034e+06 9.20112e+06 
1.98291e-03 4.02978e+04  9.78450e+06 9.79942e+06 
2.04519e-03 4.41070e+04  1.04019e+07 1.04214e+07 
2.10750e-03 5.40747e+04  1.10408e+07 1.10700e+07 
2.16983e-03 6.34788e+04  1.16995e+07 1.17382e+07 
2.23217e-03 6.23464e+04  1.23789e+07 1.24165e+07 
2.29453e-03 5.00112e+04  1.30785e+07 1.31033e+07 
2.35692e-03 3.93720e+04  1.37925e+07 1.38071e+07 
2.41932e-03 3.59912e+04  1.45265e+07 1.45380e+07 
2.48175e-03 3.92284e+04  1.52832e+07 1.52976e+07 
