1.23266e-04 8.25740e+04  6.78264e+04 6.78264e+04 
2.46531e-04 1.64085e+05  1.24913e+05 2.15255e+05 
3.69769e-04 2.02146e+05  2.20648e+05 3.52292e+05 
4.92972e-04 1.55005e+05  3.87718e+05 4.65463e+05 
6.16171e-04 1.11966e+05  5.75525e+05 6.15437e+05 
7.39336e-04 9.48389e+04  8.34722e+05 8.51928e+05 
8.62491e-04 1.23632e+05  1.10871e+06 1.16079e+06 
9.85660e-04 1.34949e+05  1.43414e+06 1.50008e+06 
1.10882e-03 1.12079e+05  1.82576e+06 1.86136e+06 
1.23196e-03 1.18809e+05  2.22532e+06 2.27304e+06 
1.35508e-03 1.34016e+05  2.69051e+06 2.75226e+06 
1.47819e-03 1.44311e+05  3.20909e+06 3.27825e+06 
1.60130e-03 1.49159e+05  3.73940e+06 3.82099e+06 
1.72437e-03 1.17709e+05  4.33593e+06 4.38266e+06 
1.84743e-03 9.42472e+04  4.97586e+06 4.99646e+06 
1.97048e-03 1.06867e+05  5.65124e+06 5.68619e+06 
2.09352e-03 1.34404e+05  6.37581e+06 6.43812e+06 
2.21654e-03 1.52968e+05  7.13326e+06 7.21783e+06 
2.33954e-03 1.31251e+05  7.94974e+06 8.00952e+06 
2.46254e-03 1.04380e+05  8.79993e+06 8.83265e+06 
2.58551e-03 9.87624e+04  9.69060e+06 9.71894e+06 
2.70848e-03 1.13991e+05  1.06369e+07 1.06779e+07 
2.83146e-03 1.48018e+05  1.16078e+07 1.16870e+07 
2.95442e-03 1.51910e+05  1.26345e+07 1.27171e+07 
3.07732e-03 1.23614e+05  1.37127e+07 1.37630e+07 
3.20019e-03 1.05292e+05  1.48133e+07 1.48475e+07 
3.32308e-03 1.04191e+05  1.59592e+07 1.59947e+07 
3.44598e-03 1.11811e+05  1.71635e+07 1.72057e+07 
3.56886e-03 1.22153e+05  1.84112e+07 1.84611e+07 
3.69173e-03 1.33749e+05  1.96833e+07 1.97467e+07 
3.81459e-03 1.35503e+05  2.09986e+07 2.10663e+07 
3.93743e-03 1.22875e+05  2.23798e+07 2.24309e+07 
4.06023e-03 1.20885e+05  2.37929e+07 2.38420e+07 
4.18301e-03 1.26934e+05  2.52314e+07 2.52912e+07 
4.30579e-03 1.15057e+05  2.67304e+07 2.67761e+07 
4.42859e-03 1.03769e+05  2.82756e+07 2.83072e+07 
4.55137e-03 1.14461e+05  2.98493e+07 2.98939e+07 
4.67412e-03 1.29304e+05  3.14706e+07 3.15312e+07 
4.79687e-03 1.30856e+05  3.31429e+07 3.32032e+07 
4.91960e-03 1.24573e+05  3.48487e+07 3.49028e+07 
5.04230e-03 1.19544e+05  3.65894e+07 3.66412e+07 
5.16499e-03 1.16063e+05  3.83874e+07 3.84338e+07 
5.28768e-03 1.22576e+05  4.02301e+07 4.02802e+07 
5.41038e-03 1.35623e+05  4.20975e+07 4.21639e+07 
5.53303e-03 1.28049e+05  4.40121e+07 4.40724e+07 
5.65567e-03 1.03674e+05  4.59811e+07 4.60139e+07 
5.77831e-03 9.48284e+04  4.79856e+07 4.80088e+07 
5.90093e-03 1.10323e+05  5.00269e+07 5.00676e+07 
6.02355e-03 1.35723e+05  5.21131e+07 5.21799e+07 
6.14617e-03 1.52093e+05  5.42430e+07 5.43251e+07 
6.26878e-03 1.45738e+05  5.64160e+07 5.64910e+07 
6.39134e-03 1.21633e+05  5.86316e+07 5.86824e+07 
6.51388e-03 1.01712e+05  6.08838e+07 6.09148e+07 
6.63640e-03 9.73324e+04  6.31735e+07 6.32015e+07 
6.75892e-03 1.00042e+05  6.55165e+07 6.55466e+07 
6.88145e-03 1.12616e+05  6.79058e+07 6.79465e+07 
7.00399e-03 1.41336e+05  7.03204e+07 7.03911e+07 
7.12651e-03 1.60053e+05  7.27767e+07 7.28676e+07 
7.24898e-03 1.45944e+05  7.52913e+07 7.53662e+07 
7.37142e-03 1.18154e+05  7.78420e+07 7.78887e+07 
7.49385e-03 9.93072e+04  8.04201e+07 8.04499e+07 
7.61626e-03 9.05474e+04  8.30485e+07 8.30690e+07 
7.73868e-03 9.88525e+04  8.57276e+07 8.57546e+07 
7.86111e-03 1.29647e+05  8.84372e+07 8.84964e+07 
7.98354e-03 1.54293e+05  9.11868e+07 9.12719e+07 
8.10593e-03 1.46632e+05  9.39897e+07 9.40651e+07 
8.22829e-03 1.24913e+05  9.68260e+07 9.68799e+07 
8.35063e-03 1.10179e+05  9.96933e+07 9.97352e+07 
8.47297e-03 1.00796e+05  1.02616e+08 1.02648e+08 
8.59530e-03 1.04504e+05  1.05586e+08 1.05619e+08 
8.71762e-03 1.26823e+05  1.08580e+08 1.08637e+08 
8.83993e-03 1.42186e+05  1.11614e+08 1.11688e+08 
8.96222e-03 1.32215e+05  1.14706e+08 1.14768e+08 
9.08449e-03 1.16408e+05  1.17836e+08 1.17881e+08 
9.20675e-03 1.12022e+05  1.20993e+08 1.21036e+08 
9.32901e-03 1.13049e+05  1.24197e+08 1.24241e+08 
9.45127e-03 1.18507e+05  1.27449e+08 1.27497e+08 
9.57352e-03 1.30207e+05  1.30738e+08 1.30797e+08 
9.69573e-03 1.36370e+05  1.34067e+08 1.34133e+08 
9.81790e-03 1.31605e+05  1.37435e+08 1.37497e+08 
9.94005e-03 1.21504e+05  1.40839e+08 1.40892e+08 
1.00000e-02 1.14623e+05  1.42526e+08 1.42572e+08 
