1.15624e-04 6.34701e+04  5.07264e+04 5.07264e+04 
2.31248e-04 1.21068e+05  1.04461e+05 1.65968e+05 
3.46847e-04 1.57139e+05  1.84054e+05 2.84251e+05 
4.62324e-04 1.33174e+05  3.18679e+05 3.91101e+05 
5.77833e-04 1.05609e+05  4.73252e+05 5.22915e+05 
6.93367e-04 8.31360e+04  6.93148e+05 7.15135e+05 
8.08894e-04 9.58151e+04  9.25683e+05 9.62878e+05 
9.24423e-04 1.06168e+05  1.18640e+06 1.23839e+06 
1.03993e-03 8.06097e+04  1.51431e+06 1.53461e+06 
1.15542e-03 7.86701e+04  1.85372e+06 1.87497e+06 
1.27092e-03 1.00055e+05  2.23571e+06 2.27863e+06 
1.38642e-03 1.25507e+05  2.66419e+06 2.73027e+06 
1.50193e-03 1.37850e+05  3.11392e+06 3.19541e+06 
1.61738e-03 1.11434e+05  3.60826e+06 3.66227e+06 
1.73280e-03 8.00936e+04  4.13434e+06 4.15739e+06 
1.84822e-03 7.17886e+04  4.70013e+06 4.71487e+06 
1.96366e-03 8.79298e+04  5.30909e+06 5.33822e+06 
2.07909e-03 1.16456e+05  5.93846e+06 5.99908e+06 
2.19451e-03 1.18295e+05  6.60961e+06 6.67234e+06 
2.30988e-03 9.61932e+04  7.32392e+06 7.36288e+06 
2.42528e-03 8.35846e+04  8.06912e+06 8.09591e+06 
2.54067e-03 8.86201e+04  8.85346e+06 8.88443e+06 
2.65604e-03 1.07169e+05  9.66643e+06 9.71728e+06 
2.77141e-03 1.16332e+05  1.05142e+07 1.05760e+07 
2.88677e-03 1.02175e+05  1.14117e+07 1.14571e+07 
3.00209e-03 8.99638e+04  1.23406e+07 1.23728e+07 
3.11739e-03 9.45232e+04  1.32955e+07 1.33333e+07 
3.23270e-03 1.03466e+05  1.42860e+07 1.43344e+07 
3.34803e-03 9.91021e+04  1.53216e+07 1.53657e+07 
3.46333e-03 8.30879e+04  1.64013e+07 1.64265e+07 
3.57861e-03 8.42260e+04  1.75003e+07 1.75274e+07 
3.69389e-03 1.02791e+05  1.86279e+07 1.86764e+07 
3.80918e-03 1.12657e+05  1.98106e+07 1.98672e+07 
3.92444e-03 1.12765e+05  2.10293e+07 2.10847e+07 
4.03968e-03 1.07382e+05  2.22707e+07 2.23221e+07 
4.15489e-03 9.54567e+04  2.35470e+07 2.35873e+07 
4.27012e-03 8.32897e+04  2.48674e+07 2.48947e+07 
4.38533e-03 8.11181e+04  2.62255e+07 2.62494e+07 
4.50053e-03 9.23195e+04  2.76088e+07 2.76458e+07 
4.61574e-03 9.91355e+04  2.90315e+07 2.90760e+07 
4.73095e-03 9.64679e+04  3.04989e+07 3.05382e+07 
4.84613e-03 1.02782e+05  3.19898e+07 3.20361e+07 
4.96129e-03 1.13456e+05  3.35125e+07 3.35712e+07 
5.07644e-03 1.11575e+05  3.50833e+07 3.51392e+07 
5.19160e-03 9.96793e+04  3.66915e+07 3.67341e+07 
5.30672e-03 9.00093e+04  3.83225e+07 3.83562e+07 
5.42183e-03 8.50411e+04  3.99835e+07 4.00142e+07 
5.53694e-03 7.82936e+04  4.16949e+07 4.17177e+07 
5.65206e-03 7.91606e+04  4.34473e+07 4.34690e+07 
5.76718e-03 9.82379e+04  4.52195e+07 4.52616e+07 
5.88228e-03 1.18705e+05  4.70228e+07 4.70868e+07 
5.99737e-03 1.22602e+05  4.88717e+07 4.89386e+07 
6.11244e-03 1.12129e+05  5.07600e+07 5.08154e+07 
6.22748e-03 9.80151e+04  5.26777e+07 5.27192e+07 
6.34251e-03 8.61717e+04  5.46239e+07 5.46547e+07 
6.45754e-03 7.61737e+04  5.66078e+07 5.66287e+07 
6.57255e-03 7.24186e+04  5.86320e+07 5.86485e+07 
6.68756e-03 8.17997e+04  6.06924e+07 6.07179e+07 
6.80259e-03 1.03576e+05  6.27846e+07 6.28317e+07 
6.91761e-03 1.26278e+05  6.49063e+07 6.49768e+07 
7.03260e-03 1.30499e+05  6.70652e+07 6.71404e+07 
7.14756e-03 1.10676e+05  6.92658e+07 6.93203e+07 
7.26251e-03 8.50911e+04  7.14981e+07 7.15267e+07 
7.37745e-03 7.15816e+04  7.37586e+07 7.37744e+07 
7.49237e-03 7.23218e+04  7.60563e+07 7.60732e+07 
7.60730e-03 8.38179e+04  7.83939e+07 7.84218e+07 
7.72224e-03 1.02433e+05  8.07637e+07 8.08102e+07 
7.83717e-03 1.17151e+05  8.31653e+07 8.32269e+07 
7.95207e-03 1.16442e+05  8.56058e+07 8.56661e+07 
8.06696e-03 1.05611e+05  8.80800e+07 8.81291e+07 
8.18184e-03 9.58300e+04  9.05815e+07 9.06223e+07 
8.29671e-03 8.60716e+04  9.31217e+07 9.31531e+07 
8.41156e-03 7.79332e+04  9.57059e+07 9.57273e+07 
8.52640e-03 8.47742e+04  9.83177e+07 9.83455e+07 
8.64124e-03 1.05087e+05  1.00952e+08 1.01002e+08 
8.75608e-03 1.14195e+05  1.03629e+08 1.03689e+08 
8.87091e-03 1.01886e+05  1.06355e+08 1.06400e+08 
8.98572e-03 8.88831e+04  1.09106e+08 1.09137e+08 
9.10052e-03 8.94516e+04  1.11875e+08 1.11910e+08 
9.21532e-03 9.27748e+04  1.14688e+08 1.14726e+08 
9.33011e-03 9.35652e+04  1.17550e+08 1.17587e+08 
9.44489e-03 1.01592e+05  1.20438e+08 1.20483e+08 
9.55964e-03 1.12892e+05  1.23348e+08 1.23405e+08 
9.67437e-03 1.09284e+05  1.26296e+08 1.26351e+08 
9.78910e-03 9.06614e+04  1.29289e+08 1.29324e+08 
9.90383e-03 7.67493e+04  1.32313e+08 1.32333e+08 
1.00000e-02 7.66953e+04  1.34868e+08 1.34889e+08 
