1.23266e-04 3.36163e+04  2.61219e+04 2.61219e+04 
2.46531e-04 4.76791e+04  8.26208e+04 9.81944e+04 
3.69769e-04 4.96907e+04  1.87169e+05 2.05121e+05 
4.92963e-04 3.63328e+04  3.43937e+05 3.47091e+05 
6.16127e-04 3.22042e+04  5.36237e+05 5.37087e+05 
7.39288e-04 3.33619e+04  7.83296e+05 7.84419e+05 
8.62452e-04 4.20754e+04  1.07428e+06 1.08396e+06 
9.85596e-04 4.87319e+04  1.40579e+06 1.42328e+06 
1.10870e-03 3.99674e+04  1.79033e+06 1.79789e+06 
1.23178e-03 3.27258e+04  2.21477e+06 2.21581e+06 
1.35484e-03 3.21593e+04  2.68634e+06 2.68703e+06 
1.47790e-03 3.69420e+04  3.20677e+06 3.21152e+06 
1.60095e-03 4.44916e+04  3.76684e+06 3.78006e+06 
1.72398e-03 4.13839e+04  4.37625e+06 4.38591e+06 
1.84697e-03 3.41561e+04  5.03010e+06 5.03244e+06 
1.96995e-03 3.25029e+04  5.72696e+06 5.72824e+06 
2.09292e-03 3.52303e+04  6.47295e+06 6.47636e+06 
2.21588e-03 4.17423e+04  7.26067e+06 7.27096e+06 
2.33882e-03 4.27378e+04  8.09346e+06 8.10486e+06 
2.46173e-03 3.70126e+04  8.97278e+06 8.97810e+06 
2.58462e-03 3.38303e+04  9.89459e+06 9.89717e+06 
2.70749e-03 3.47020e+04  1.08635e+07 1.08667e+07 
2.83035e-03 3.90657e+04  1.18764e+07 1.18840e+07 
2.95320e-03 4.14902e+04  1.29326e+07 1.29429e+07 
3.07602e-03 3.77238e+04  1.40350e+07 1.40412e+07 
3.19881e-03 3.39613e+04  1.51805e+07 1.51832e+07 
3.32160e-03 3.37182e+04  1.63713e+07 1.63737e+07 
3.44438e-03 3.67286e+04  1.76073e+07 1.76126e+07 
3.56714e-03 4.00233e+04  1.88860e+07 1.88948e+07 
3.68988e-03 3.86847e+04  2.02098e+07 2.02171e+07 
3.81259e-03 3.54379e+04  2.15772e+07 2.15813e+07 
3.93528e-03 3.46197e+04  2.29882e+07 2.29916e+07 
4.05797e-03 3.65250e+04  2.44444e+07 2.44495e+07 
4.18064e-03 3.94591e+04  2.59437e+07 2.59519e+07 
4.30329e-03 3.94337e+04  2.74869e+07 2.74951e+07 
4.42592e-03 3.65518e+04  2.90742e+07 2.90794e+07 
4.54852e-03 3.46935e+04  3.07047e+07 3.07082e+07 
4.67111e-03 3.53188e+04  3.23795e+07 3.23835e+07 
4.79368e-03 3.75576e+04  3.40977e+07 3.41039e+07 
4.91624e-03 3.83927e+04  3.58592e+07 3.58664e+07 
5.03878e-03 3.66657e+04  3.76646e+07 3.76700e+07 
5.16130e-03 3.50268e+04  3.95131e+07 3.95169e+07 
5.28380e-03 3.52050e+04  4.14053e+07 4.14092e+07 
5.40629e-03 3.70004e+04  4.33407e+07 4.33464e+07 
5.52876e-03 3.84407e+04  4.53188e+07 4.53261e+07 
5.65122e-03 3.76871e+04  4.73403e+07 4.73468e+07 
5.77365e-03 3.61635e+04  4.94048e+07 4.94097e+07 
5.89607e-03 3.58320e+04  5.15123e+07 5.15169e+07 
6.01847e-03 3.68256e+04  5.36630e+07 5.36686e+07 
6.14085e-03 3.78629e+04  5.58564e+07 5.58630e+07 
6.26321e-03 3.74004e+04  5.80925e+07 5.80986e+07 
6.38555e-03 3.59525e+04  6.03713e+07 6.03760e+07 
6.50787e-03 3.52315e+04  6.26930e+07 6.26970e+07 
6.63018e-03 3.58862e+04  6.50575e+07 6.50621e+07 
6.75248e-03 3.70798e+04  6.74646e+07 6.74704e+07 
6.87476e-03 3.72664e+04  6.99141e+07 6.99202e+07 
6.99702e-03 3.63782e+04  7.24060e+07 7.24112e+07 
7.11925e-03 3.57854e+04  7.49401e+07 7.49446e+07 
7.24148e-03 3.62070e+04  7.75166e+07 7.75216e+07 
7.36369e-03 3.72457e+04  8.01354e+07 8.01414e+07 
7.48588e-03 3.77396e+04  8.27963e+07 8.28028e+07 
7.60805e-03 3.70681e+04  8.54994e+07 8.55052e+07 
7.73020e-03 3.61115e+04  8.82444e+07 8.82493e+07 
7.85233e-03 3.59100e+04  9.10315e+07 9.10362e+07 
7.97445e-03 3.64329e+04  9.38605e+07 9.38657e+07 
8.09655e-03 3.68295e+04  9.67314e+07 9.67370e+07 
8.21863e-03 3.65391e+04  9.96441e+07 9.96494e+07 
8.34069e-03 3.59594e+04  1.02599e+08 1.02603e+08 
8.46274e-03 3.57856e+04  1.05595e+08 1.05600e+08 
8.58478e-03 3.62519e+04  1.08633e+08 1.08638e+08 
8.70679e-03 3.68491e+04  1.11712e+08 1.11718e+08 
8.82879e-03 3.68878e+04  1.14833e+08 1.14839e+08 
8.95077e-03 3.65325e+04  1.17995e+08 1.18001e+08 
9.07273e-03 3.64122e+04  1.21199e+08 1.21204e+08 
9.19468e-03 3.66544e+04  1.24444e+08 1.24450e+08 
9.31661e-03 3.69089e+04  1.27730e+08 1.27736e+08 
9.43851e-03 3.67767e+04  1.31058e+08 1.31063e+08 
9.56040e-03 3.62656e+04  1.34426e+08 1.34431e+08 
9.68227e-03 3.58813e+04  1.37836e+08 1.37841e+08 
9.80413e-03 3.60147e+04  1.41287e+08 1.41291e+08 
9.92597e-03 3.64024e+04  1.44778e+08 1.44783e+08 
1.00000e-02 3.65316e+04  1.46921e+08 1.46926e+08 
