1.23266e-04 5.85000e+04  1.46094e+04 1.46094e+04 
2.46531e-04 5.85000e+04  5.84376e+04 5.84376e+04 
3.69797e-04 5.85000e+04  1.31485e+05 1.31485e+05 
4.93062e-04 5.85000e+04  2.33751e+05 2.33751e+05 
6.16328e-04 5.85000e+04  3.65236e+05 3.65236e+05 
7.39593e-04 5.85000e+04  5.25939e+05 5.25939e+05 
8.62859e-04 5.85000e+04  7.15862e+05 7.15862e+05 
9.86124e-04 5.85000e+04  9.35005e+05 9.35005e+05 
1.10939e-03 5.85000e+04  1.18337e+06 1.18337e+06 
1.23266e-03 5.85000e+04  1.46095e+06 1.46095e+06 
1.35592e-03 5.85000e+04  1.76775e+06 1.76775e+06 
1.47919e-03 5.85000e+04  2.10377e+06 2.10377e+06 
1.60245e-03 5.85000e+04  2.46901e+06 2.46901e+06 
1.72572e-03 5.85000e+04  2.86347e+06 2.86347e+06 
1.84898e-03 5.85000e+04  3.28715e+06 3.28715e+06 
1.97225e-03 5.85000e+04  3.74005e+06 3.74005e+06 
2.09551e-03 5.85000e+04  4.22218e+06 4.22218e+06 
2.21878e-03 5.85000e+04  4.73352e+06 4.73352e+06 
2.34204e-03 5.85000e+04  5.27409e+06 5.27409e+06 
2.46531e-03 5.85000e+04  5.84388e+06 5.84388e+06 
2.58858e-03 5.85000e+04  6.44289e+06 6.44289e+06 
2.71184e-03 5.85000e+04  7.07112e+06 7.07112e+06 
2.83511e-03 5.85000e+04  7.72858e+06 7.72858e+06 
2.95837e-03 5.85000e+04  8.41526e+06 8.41526e+06 
3.08164e-03 5.85000e+04  9.13116e+06 9.13116e+06 
3.20490e-03 5.85000e+04  9.87629e+06 9.87629e+06 
3.32817e-03 5.85000e+04  1.06506e+07 1.06506e+07 
3.45143e-03 5.85000e+04  1.14542e+07 1.14542e+07 
3.57470e-03 5.85000e+04  1.22870e+07 1.22870e+07 
3.69797e-03 5.85000e+04  1.31490e+07 1.31490e+07 
3.82123e-03 5.85000e+04  1.40403e+07 1.40403e+07 
3.94450e-03 5.85000e+04  1.49608e+07 1.49608e+07 
4.06776e-03 5.85000e+04  1.59105e+07 1.59105e+07 
4.19103e-03 5.85000e+04  1.68894e+07 1.68894e+07 
4.31429e-03 5.85000e+04  1.78976e+07 1.78976e+07 
4.43756e-03 5.85000e+04  1.89350e+07 1.89350e+07 
4.56082e-03 5.85000e+04  2.00016e+07 2.00016e+07 
4.68409e-03 5.85000e+04  2.10975e+07 2.10975e+07 
4.80735e-03 5.85000e+04  2.22226e+07 2.22226e+07 
4.93062e-03 5.85000e+04  2.33769e+07 2.33769e+07 
5.05389e-03 5.85000e+04  2.45604e+07 2.45604e+07 
5.17715e-03 5.85000e+04  2.57732e+07 2.57732e+07 
5.30042e-03 5.85000e+04  2.70152e+07 2.70152e+07 
5.42368e-03 5.85000e+04  2.82865e+07 2.82865e+07 
5.54695e-03 5.85000e+04  2.95870e+07 2.95870e+07 
5.67021e-03 5.85000e+04  3.09167e+07 3.09167e+07 
5.79348e-03 5.85000e+04  3.22757e+07 3.22757e+07 
5.91674e-03 5.85000e+04  3.36639e+07 3.36639e+07 
6.04001e-03 5.85000e+04  3.50813e+07 3.50813e+07 
6.16328e-03 5.85000e+04  3.65280e+07 3.65280e+07 
6.28654e-03 5.85000e+04  3.80039e+07 3.80039e+07 
6.40981e-03 5.85000e+04  3.95091e+07 3.95091e+07 
6.53307e-03 5.85000e+04  4.10435e+07 4.10435e+07 
6.65634e-03 5.85000e+04  4.26071e+07 4.26071e+07 
6.77960e-03 5.85000e+04  4.42000e+07 4.42000e+07 
6.90287e-03 5.85000e+04  4.58222e+07 4.58222e+07 
7.02613e-03 5.85000e+04  4.74736e+07 4.74736e+07 
7.14940e-03 5.85000e+04  4.91542e+07 4.91542e+07 
7.27266e-03 5.85000e+04  5.08641e+07 5.08641e+07 
7.39593e-03 5.85000e+04  5.26032e+07 5.26032e+07 
7.51920e-03 5.85000e+04  5.43716e+07 5.43716e+07 
7.64246e-03 5.85000e+04  5.61692e+07 5.61692e+07 
7.76573e-03 5.85000e+04  5.79961e+07 5.79961e+07 
7.88899e-03 5.85000e+04  5.98522e+07 5.98522e+07 
8.01226e-03 5.85000e+04  6.17376e+07 6.17376e+07 
8.13552e-03 5.85000e+04  6.36522e+07 6.36522e+07 
8.25879e-03 5.85000e+04  6.55961e+07 6.55961e+07 
8.38205e-03 5.85000e+04  6.75693e+07 6.75693e+07 
8.50532e-03 5.85000e+04  6.95717e+07 6.95717e+07 
8.62859e-03 5.85000e+04  7.16034e+07 7.16034e+07 
8.75185e-03 5.85000e+04  7.36643e+07 7.36643e+07 
8.87512e-03 5.85000e+04  7.57545e+07 7.57545e+07 
8.99838e-03 5.85000e+04  7.78740e+07 7.78740e+07 
9.12165e-03 5.85000e+04  8.00227e+07 8.00227e+07 
9.24491e-03 5.85000e+04  8.22007e+07 8.22007e+07 
9.36818e-03 5.85000e+04  8.44079e+07 8.44079e+07 
9.49144e-03 5.85000e+04  8.66445e+07 8.66445e+07 
9.61471e-03 5.85000e+04  8.89102e+07 8.89102e+07 
9.73798e-03 5.85000e+04  9.12053e+07 9.12053e+07 
9.86124e-03 5.85000e+04  9.35297e+07 9.35297e+07 
9.98451e-03 5.85000e+04  9.58833e+07 9.58833e+07 
1.00000e-02 5.85000e+04  9.61812e+07 9.61812e+07 
