1.23266e-04 7.43907e+05  5.34690e+06 5.34690e+06 
2.46531e-04 4.60780e+06  1.16001e+07 1.67288e+07 
3.69030e-04 6.37327e+06  2.32693e+07 2.90313e+07 
4.91036e-04 5.72530e+06  3.81333e+07 4.42127e+07 
6.13468e-04 4.87171e+06  6.03026e+07 6.47606e+07 
7.35929e-04 3.07318e+06  8.57295e+07 8.91042e+07 
8.58122e-04 1.31684e+06  1.14621e+08 1.16307e+08 
9.79892e-04 5.60383e+05  1.48460e+08 1.48901e+08 
1.10127e-03 1.84494e+06  1.86896e+08 1.88497e+08 
1.22249e-03 4.08848e+06  2.29441e+08 2.33242e+08 
1.34351e-03 5.28456e+06  2.75881e+08 2.80979e+08 
1.46445e-03 5.06031e+06  3.26660e+08 3.31742e+08 
1.58547e-03 4.07363e+06  3.82013e+08 3.86076e+08 
1.70637e-03 3.05206e+06  4.40815e+08 4.43965e+08 
1.82692e-03 1.78261e+06  5.04328e+08 5.06056e+08 
1.94714e-03 1.85429e+06  5.71285e+08 5.73275e+08 
2.06713e-03 2.93387e+06  6.42094e+08 6.45099e+08 
2.18673e-03 3.81053e+06  7.16533e+08 7.20245e+08 
2.30605e-03 3.36315e+06  7.95644e+08 7.98805e+08 
2.42540e-03 3.43799e+06  8.78074e+08 8.81550e+08 
2.54488e-03 3.72643e+06  9.63796e+08 9.68048e+08 
2.66419e-03 3.02615e+06  1.05406e+09 1.05747e+09 
2.78297e-03 2.08281e+06  1.14833e+09 1.15033e+09 
2.90147e-03 2.41010e+06  1.24548e+09 1.24778e+09 
3.01990e-03 3.61782e+06  1.34554e+09 1.34940e+09 
3.13819e-03 3.74125e+06  1.44999e+09 1.45391e+09 
3.25607e-03 2.88424e+06  1.55841e+09 1.56115e+09 
3.37380e-03 2.58297e+06  1.66974e+09 1.67219e+09 
3.49158e-03 2.79165e+06  1.78415e+09 1.78731e+09 
3.60934e-03 2.81512e+06  1.90250e+09 1.90593e+09 
3.72664e-03 2.81713e+06  2.02456e+09 2.02757e+09 
3.84358e-03 3.24761e+06  2.14937e+09 2.15252e+09 
3.96044e-03 3.58082e+06  2.27727e+09 2.28084e+09 
4.07738e-03 3.18184e+06  2.40900e+09 2.41227e+09 
4.19402e-03 2.52682e+06  2.54398e+09 2.54651e+09 
4.31039e-03 2.31980e+06  2.68175e+09 2.68405e+09 
4.42657e-03 2.47457e+06  2.82270e+09 2.82528e+09 
4.54266e-03 2.81167e+06  2.96735e+09 2.97026e+09 
4.65861e-03 3.69610e+06  3.11480e+09 3.11852e+09 
4.77432e-03 4.50928e+06  3.26483e+09 3.26933e+09 
4.88991e-03 4.05141e+06  3.41842e+09 3.42245e+09 
5.00544e-03 2.57171e+06  3.57577e+09 3.57824e+09 
5.12074e-03 1.70698e+06  3.73541e+09 3.73703e+09 
5.23580e-03 1.91248e+06  3.89722e+09 3.89916e+09 
5.35065e-03 2.19247e+06  4.06253e+09 4.06475e+09 
5.46536e-03 2.37844e+06  4.23159e+09 4.23387e+09 
5.57998e-03 3.38911e+06  4.40309e+09 4.40635e+09 
5.69447e-03 4.93981e+06  4.57648e+09 4.58143e+09 
5.80878e-03 5.22375e+06  4.75315e+09 4.75840e+09 
5.92283e-03 3.66585e+06  4.93361e+09 4.93716e+09 
6.03671e-03 1.95293e+06  5.11657e+09 5.11834e+09 
6.15051e-03 1.48979e+06  5.30118e+09 5.30263e+09 
6.26425e-03 1.69216e+06  5.48855e+09 5.49036e+09 
6.37773e-03 1.66672e+06  5.67968e+09 5.68140e+09 
6.49093e-03 1.99675e+06  5.87368e+09 5.87558e+09 
6.60396e-03 3.48503e+06  6.06919e+09 6.07256e+09 
6.71680e-03 5.12807e+06  6.26660e+09 6.27169e+09 
6.82945e-03 5.13186e+06  6.46744e+09 6.47252e+09 
6.94198e-03 3.57367e+06  6.67169e+09 6.67517e+09 
7.05443e-03 2.12873e+06  6.87798e+09 6.88011e+09 
7.16679e-03 1.63360e+06  7.08616e+09 7.08789e+09 
7.27897e-03 1.64798e+06  7.29706e+09 7.29875e+09 
7.39084e-03 1.79862e+06  7.51073e+09 7.51245e+09 
7.50253e-03 2.31012e+06  7.72681e+09 7.72899e+09 
7.61421e-03 3.29565e+06  7.94510e+09 7.94830e+09 
7.72577e-03 4.11990e+06  8.16569e+09 8.16979e+09 
7.83711e-03 4.02693e+06  8.38892e+09 8.39300e+09 
7.94821e-03 3.24995e+06  8.61458e+09 8.61787e+09 
8.05910e-03 2.63357e+06  8.84210e+09 8.84474e+09 
8.16989e-03 2.38775e+06  9.07177e+09 9.07413e+09 
