8.00000e-06 1.54220e-17  8.49245e-14 8.49245e-14 
1.60000e-05 1.53600e-16  2.72403e-13 2.72645e-13 
2.40000e-05 4.88223e-16  4.95265e-13 4.96080e-13 
3.20000e-05 1.09210e-15  7.53349e-13 7.55168e-13 
4.00000e-05 2.04809e-15  1.04648e-12 1.04985e-12 
4.80000e-05 3.44902e-15  1.37446e-12 1.38004e-12 
5.60000e-05 5.39750e-15  1.73708e-12 1.74569e-12 
6.71459e-04 2.24082e-11  1.22146e-10 1.30320e-10 
1.28688e-03 1.28437e-10  2.39704e-10 3.74669e-10 
1.90201e-03 1.67340e-10  4.61570e-10 6.20710e-10 
2.51688e-03 9.76447e-11  7.82844e-10 8.80470e-10 
3.13188e-03 4.16250e-11  1.20692e-09 1.24087e-09 
3.74658e-03 3.76512e-11  1.69460e-09 1.73517e-09 
4.36123e-03 3.90708e-11  2.26489e-09 2.32757e-09 
4.97600e-03 4.41332e-11  2.95929e-09 2.99742e-09 
5.59039e-03 7.97263e-11  3.69045e-09 3.76865e-09 
6.20475e-03 1.02494e-10  4.55514e-09 4.64965e-09 
6.81922e-03 1.15039e-10  5.48630e-09 5.59847e-09 
7.43352e-03 8.79699e-11  6.49536e-09 6.58313e-09 
8.04770e-03 3.75431e-11  7.60803e-09 7.64066e-09 
8.66181e-03 2.83903e-11  8.80780e-09 8.83253e-09 
9.27581e-03 7.32899e-11  1.00889e-08 1.01584e-08 
9.88960e-03 1.10118e-10  1.14366e-08 1.15558e-08 
1.05034e-02 7.64580e-11  1.29093e-08 1.29876e-08 
1.11171e-02 4.13578e-11  1.44498e-08 1.44880e-08 
1.17306e-02 4.77371e-11  1.60644e-08 1.61096e-08 
1.23441e-02 7.54247e-11  1.77752e-08 1.78528e-08 
1.29575e-02 9.19471e-11  1.95787e-08 1.96729e-08 
1.35709e-02 8.18750e-11  2.14668e-08 2.15445e-08 
1.41840e-02 6.36998e-11  2.34208e-08 2.34868e-08 
1.47971e-02 4.46690e-11  2.54754e-08 2.55267e-08 
1.54101e-02 3.88225e-11  2.76222e-08 2.76666e-08 
1.60229e-02 4.88327e-11  2.98455e-08 2.98962e-08 
1.66356e-02 7.05867e-11  3.21413e-08 3.22164e-08 
1.72484e-02 9.18807e-11  3.45384e-08 3.46298e-08 
1.78610e-02 9.87631e-11  3.70234e-08 3.71187e-08 
1.84733e-02 7.90250e-11  3.95758e-08 3.96623e-08 
1.90858e-02 3.91935e-11  4.22263e-08 4.22700e-08 
1.96981e-02 2.13861e-11  4.49551e-08 4.49774e-08 
2.03103e-02 3.63066e-11  4.77646e-08 4.78073e-08 
2.09225e-02 6.96473e-11  5.06702e-08 5.07433e-08 
2.15345e-02 1.00222e-10  5.36526e-08 5.37493e-08 
2.21464e-02 1.04112e-10  5.67037e-08 5.68098e-08 
2.27583e-02 7.74897e-11  5.98583e-08 5.99386e-08 
2.33701e-02 4.56529e-11  6.31087e-08 6.31510e-08 
2.39816e-02 3.82884e-11  6.64056e-08 6.64516e-08 
2.45931e-02 3.93492e-11  6.97932e-08 6.98448e-08 
2.52048e-02 4.11851e-11  7.32965e-08 7.33372e-08 
2.58161e-02 6.94518e-11  7.68579e-08 7.69259e-08 
2.64273e-02 1.05704e-10  8.04845e-08 8.05950e-08 
2.70386e-02 1.01617e-10  8.42244e-08 8.43247e-08 
2.76497e-02 6.72978e-11  8.80470e-08 8.81113e-08 
2.82607e-02 4.26090e-11  9.19268e-08 9.19758e-08 
2.88717e-02 3.11976e-11  9.59024e-08 9.59406e-08 
2.94825e-02 3.68520e-11  9.99659e-08 1.00008e-07 
3.00932e-02 6.12675e-11  1.04098e-07 1.04167e-07 
3.07038e-02 8.31057e-11  1.08321e-07 1.08406e-07 
3.13143e-02 9.16730e-11  1.12628e-07 1.12716e-07 
3.19248e-02 8.61565e-11  1.17003e-07 1.17092e-07 
3.25351e-02 6.24906e-11  1.21467e-07 1.21536e-07 
3.31454e-02 3.55145e-11  1.26025e-07 1.26061e-07 
3.37556e-02 3.53346e-11  1.30645e-07 1.30684e-07 
3.43657e-02 5.89477e-11  1.35341e-07 1.35409e-07 
3.49759e-02 7.69681e-11  1.40142e-07 1.40220e-07 
3.55858e-02 7.96521e-11  1.45018e-07 1.45096e-07 
3.61955e-02 7.48216e-11  1.49955e-07 1.50034e-07 
3.68054e-02 6.56467e-11  1.54982e-07 1.55050e-07 
3.74151e-02 5.46794e-11  1.60104e-07 1.60157e-07 
3.80247e-02 5.61800e-11  1.65295e-07 1.65353e-07 
3.86342e-02 7.11532e-11  1.70555e-07 1.70630e-07 
3.92437e-02 7.34938e-11  1.75906e-07 1.75980e-07 
3.98530e-02 5.58288e-11  1.81345e-07 1.81402e-07 
4.04623e-02 4.74605e-11  1.86853e-07 1.86904e-07 
4.10715e-02 5.96477e-11  1.92434e-07 1.92495e-07 
4.16805e-02 7.27468e-11  1.98105e-07 1.98176e-07 
4.22895e-02 8.35672e-11  2.03857e-07 2.03939e-07 
4.28985e-02 9.07288e-11  2.09682e-07 2.09771e-07 
4.35073e-02 7.39527e-11  2.15586e-07 2.15660e-07 
4.41159e-02 4.01361e-11  2.21570e-07 2.21614e-07 
4.47245e-02 2.32580e-11  2.27630e-07 2.27659e-07 
4.53331e-02 3.59780e-11  2.33775e-07 2.33812e-07 
4.59415e-02 7.20529e-11  2.39997e-07 2.40066e-07 
4.65499e-02 1.12576e-10  2.46285e-07 2.46397e-07 
4.71582e-02 1.16083e-10  2.52661e-07 2.52777e-07 
4.77664e-02 7.25635e-11  2.59129e-07 2.59200e-07 
4.83744e-02 2.94337e-11  2.65656e-07 2.65688e-07 
4.89824e-02 1.56811e-11  2.72250e-07 2.72275e-07 
4.95904e-02 2.37288e-11  2.78949e-07 2.78977e-07 
5.01982e-02 6.02630e-11  2.85725e-07 2.85782e-07 
5.08059e-02 1.13097e-10  2.92550e-07 2.92662e-07 
5.14136e-02 1.25147e-10  2.99465e-07 2.99590e-07 
5.20212e-02 8.29163e-11  3.06479e-07 3.06559e-07 
5.26286e-02 3.75380e-11  3.13550e-07 3.13588e-07 
5.32360e-02 1.78675e-11  3.20688e-07 3.20711e-07 
5.38433e-02 2.34555e-11  3.27921e-07 3.27948e-07 
5.44506e-02 5.78727e-11  3.35230e-07 3.35288e-07 
5.50577e-02 9.79423e-11  3.42605e-07 3.42702e-07 
5.56647e-02 1.05500e-10  3.50062e-07 3.50166e-07 
5.62717e-02 8.40559e-11  3.57598e-07 3.57680e-07 
5.68786e-02 5.69957e-11  3.65203e-07 3.65260e-07 
5.74854e-02 3.47191e-11  3.72892e-07 3.72928e-07 
5.80921e-02 3.46745e-11  3.80658e-07 3.80694e-07 
5.86987e-02 6.10970e-11  3.88486e-07 3.88549e-07 
5.93052e-02 8.01579e-11  3.96396e-07 3.96479e-07 
5.99116e-02 7.43599e-11  4.04396e-07 4.04470e-07 
6.05180e-02 6.68120e-11  4.12459e-07 4.12524e-07 
6.11242e-02 6.57511e-11  4.20586e-07 4.20652e-07 
6.17303e-02 5.91608e-11  4.28803e-07 4.28864e-07 
6.23365e-02 5.63512e-11  4.37104e-07 4.37160e-07 
6.29424e-02 6.68389e-11  4.45462e-07 4.45529e-07 
6.35482e-02 7.01882e-11  4.53890e-07 4.53965e-07 
6.41540e-02 5.43248e-11  4.62410e-07 4.62468e-07 
6.47598e-02 4.20131e-11  4.71006e-07 4.71049e-07 
6.53653e-02 5.13335e-11  4.79661e-07 4.79713e-07 
6.59707e-02 6.99296e-11  4.88389e-07 4.88462e-07 
6.65762e-02 8.11033e-11  4.97207e-07 4.97288e-07 
6.71815e-02 8.15153e-11  5.06096e-07 5.06176e-07 
6.77867e-02 7.01362e-11  5.15048e-07 5.15121e-07 
6.83918e-02 4.84400e-11  5.24077e-07 5.24131e-07 
6.89968e-02 3.07953e-11  5.33187e-07 5.33222e-07 
6.96018e-02 3.29262e-11  5.42367e-07 5.42403e-07 
7.02066e-02 5.50283e-11  5.51618e-07 5.51676e-07 
7.08114e-02 8.41312e-11  5.60945e-07 5.61028e-07 
7.14161e-02 1.00372e-10  5.70341e-07 5.70440e-07 
7.20207e-02 8.78541e-11  5.79815e-07 5.79904e-07 
7.26252e-02 5.58463e-11  5.89368e-07 5.89424e-07 
7.32295e-02 3.16102e-11  5.98981e-07 5.99016e-07 
7.38338e-02 2.58838e-11  6.08663e-07 6.08697e-07 
7.44382e-02 3.50128e-11  6.18437e-07 6.18476e-07 
7.50423e-02 6.26163e-11  6.28280e-07 6.28341e-07 
7.56463e-02 9.84713e-11  6.38176e-07 6.38275e-07 
7.62503e-02 1.07572e-10  6.48153e-07 6.48262e-07 
7.68543e-02 7.90053e-11  6.58222e-07 6.58300e-07 
7.74580e-02 4.41861e-11  6.68349e-07 6.68393e-07 
7.80617e-02 2.66737e-11  6.78532e-07 6.78566e-07 
7.86654e-02 2.47549e-11  6.88805e-07 6.88835e-07 
7.92689e-02 4.12093e-11  6.99156e-07 6.99199e-07 
7.98723e-02 7.62098e-11  7.09565e-07 7.09642e-07 
8.04757e-02 1.03888e-10  7.20043e-07 7.20147e-07 
8.10790e-02 9.86505e-11  7.30603e-07 7.30700e-07 
8.16822e-02 6.81281e-11  7.41234e-07 7.41303e-07 
8.22852e-02 3.78511e-11  7.51931e-07 7.51972e-07 
8.28882e-02 2.47184e-11  7.62698e-07 7.62727e-07 
8.34912e-02 3.37472e-11  7.73538e-07 7.73576e-07 
8.40940e-02 5.88664e-11  7.84450e-07 7.84513e-07 
8.46968e-02 8.30594e-11  7.95437e-07 7.95519e-07 
8.52994e-02 9.13662e-11  8.06489e-07 8.06579e-07 
8.59020e-02 8.16860e-11  8.17608e-07 8.17691e-07 
8.65046e-02 6.02901e-11  8.28804e-07 8.28866e-07 
8.71070e-02 3.98922e-11  8.40075e-07 8.40115e-07 
8.77093e-02 3.79215e-11  8.51409e-07 8.51449e-07 
8.83116e-02 5.56117e-11  8.62807e-07 8.62866e-07 
8.89138e-02 6.99497e-11  8.74285e-07 8.74357e-07 
8.95159e-02 6.83580e-11  8.85839e-07 8.85907e-07 
9.01179e-02 6.58041e-11  8.97453e-07 8.97519e-07 
9.07199e-02 6.86826e-11  9.09128e-07 9.09198e-07 
9.13218e-02 6.44505e-11  9.20887e-07 9.20952e-07 
9.19236e-02 5.78372e-11  9.32723e-07 9.32779e-07 
9.25252e-02 6.34696e-11  9.44612e-07 9.44676e-07 
9.31269e-02 6.77045e-11  9.56566e-07 9.56637e-07 
9.37284e-02 5.37847e-11  9.68605e-07 9.68661e-07 
9.43299e-02 4.06539e-11  9.80715e-07 9.80757e-07 
9.49312e-02 4.92216e-11  9.92879e-07 9.92929e-07 
9.55325e-02 6.82592e-11  1.00511e-06 1.00518e-06 
9.61337e-02 8.17679e-11  1.01743e-06 1.01751e-06 
9.67348e-02 8.61253e-11  1.02981e-06 1.02989e-06 
9.73358e-02 7.55793e-11  1.04225e-06 1.04233e-06 
9.79367e-02 5.06927e-11  1.05476e-06 1.05482e-06 
9.85375e-02 2.92803e-11  1.06734e-06 1.06738e-06 
9.91383e-02 2.68949e-11  1.08000e-06 1.08003e-06 
9.97390e-02 4.58512e-11  1.09272e-06 1.09277e-06 
1.00339e-01 7.94330e-11  1.10550e-06 1.10558e-06 
1.00940e-01 1.05149e-10  1.11835e-06 1.11846e-06 
1.01540e-01 9.74313e-11  1.13128e-06 1.13138e-06 
1.02141e-01 6.27391e-11  1.14427e-06 1.14434e-06 
1.02741e-01 3.19617e-11  1.15733e-06 1.15736e-06 
1.03341e-01 2.03273e-11  1.17044e-06 1.17047e-06 
1.03941e-01 2.70174e-11  1.18364e-06 1.18367e-06 
1.04541e-01 5.42949e-11  1.19691e-06 1.19696e-06 
1.05141e-01 9.23392e-11  1.21023e-06 1.21032e-06 
