1.23266e-04 3.51102e+04  3.43020e+04 3.43020e+04 
2.46531e-04 5.18278e+04  9.96696e+04 1.19953e+05 
3.69766e-04 4.40349e+04  2.26136e+05 2.36581e+05 
4.92962e-04 3.19985e+04  3.94228e+05 3.93717e+05 
6.16142e-04 3.16708e+04  6.12191e+05 6.11784e+05 
7.39324e-04 4.03254e+04  8.83075e+05 8.90242e+05 
8.62493e-04 4.82390e+04  1.19342e+06 1.21037e+06 
9.85628e-04 3.72661e+04  1.56097e+06 1.56515e+06 
1.10873e-03 3.18576e+04  1.96796e+06 1.96854e+06 
1.23183e-03 3.39463e+04  2.43078e+06 2.43225e+06 
1.35493e-03 4.32577e+04  2.93666e+06 2.94824e+06 
1.47800e-03 4.28862e+04  3.49155e+06 3.50268e+06 
1.60104e-03 3.43114e+04  4.09504e+06 4.09732e+06 
1.72406e-03 3.25614e+04  4.74388e+06 4.74514e+06 
1.84707e-03 3.70591e+04  5.44460e+06 5.44957e+06 
1.97007e-03 4.30395e+04  6.18828e+06 6.20010e+06 
2.09305e-03 3.85219e+04  6.98287e+06 6.98952e+06 
2.21600e-03 3.34616e+04  7.82225e+06 7.82435e+06 
2.33893e-03 3.40906e+04  8.71096e+06 8.71351e+06 
2.46186e-03 3.93453e+04  9.64664e+06 9.65446e+06 
2.58477e-03 4.09163e+04  1.06285e+07 1.06381e+07 
2.70765e-03 3.59471e+04  1.16588e+07 1.16631e+07 
2.83051e-03 3.37059e+04  1.27346e+07 1.27371e+07 
2.95336e-03 3.60302e+04  1.38595e+07 1.38640e+07 
3.07619e-03 3.99871e+04  1.50296e+07 1.50384e+07 
3.19901e-03 3.84892e+04  1.62475e+07 1.62546e+07 
3.32180e-03 3.48462e+04  1.75116e+07 1.75152e+07 
3.44457e-03 3.46135e+04  1.88228e+07 1.88261e+07 
3.56733e-03 3.76132e+04  2.01811e+07 2.01874e+07 
3.69008e-03 3.92811e+04  2.15852e+07 2.15933e+07 
3.81280e-03 3.66830e+04  2.30365e+07 2.30418e+07 
3.93550e-03 3.47120e+04  2.45335e+07 2.45371e+07 
4.05819e-03 3.58151e+04  2.60779e+07 2.60824e+07 
4.18086e-03 3.83187e+04  2.76681e+07 2.76751e+07 
4.30352e-03 3.80239e+04  2.93046e+07 2.93113e+07 
4.42615e-03 3.57067e+04  3.09872e+07 3.09917e+07 
4.54876e-03 3.51631e+04  3.27160e+07 3.27200e+07 
4.67136e-03 3.68630e+04  3.44913e+07 3.44969e+07 
4.79394e-03 3.81646e+04  3.63121e+07 3.63191e+07 
4.91651e-03 3.68774e+04  3.81791e+07 3.81847e+07 
5.03905e-03 3.54206e+04  4.00917e+07 4.00959e+07 
5.16158e-03 3.58789e+04  4.20505e+07 4.20551e+07 
5.28409e-03 3.74269e+04  4.40549e+07 4.40611e+07 
5.40658e-03 3.75315e+04  4.61049e+07 4.61112e+07 
5.52906e-03 3.61442e+04  4.82006e+07 4.82055e+07 
5.65151e-03 3.55989e+04  5.03417e+07 5.03461e+07 
5.77395e-03 3.65489e+04  5.25286e+07 5.25339e+07 
5.89637e-03 3.74570e+04  5.47607e+07 5.47669e+07 
6.01878e-03 3.68339e+04  5.70382e+07 5.70438e+07 
6.14116e-03 3.58516e+04  5.93609e+07 5.93656e+07 
6.26353e-03 3.60062e+04  6.17290e+07 6.17338e+07 
6.38588e-03 3.69485e+04  6.41423e+07 6.41480e+07 
6.50822e-03 3.71365e+04  6.66005e+07 6.66065e+07 
6.63053e-03 3.63260e+04  6.91038e+07 6.91090e+07 
6.75283e-03 3.58935e+04  7.16521e+07 7.16568e+07 
6.87511e-03 3.64208e+04  7.42454e+07 7.42506e+07 
6.99737e-03 3.70182e+04  7.68835e+07 7.68893e+07 
7.11962e-03 3.67149e+04  7.95664e+07 7.95719e+07 
7.24185e-03 3.60846e+04  8.22939e+07 8.22988e+07 
7.36406e-03 3.61159e+04  8.50662e+07 8.50711e+07 
7.48625e-03 3.66838e+04  8.78830e+07 8.78885e+07 
7.60843e-03 3.68483e+04  9.07444e+07 9.07500e+07 
7.73058e-03 3.63756e+04  9.36502e+07 9.36554e+07 
7.85272e-03 3.60698e+04  9.66004e+07 9.66053e+07 
7.97485e-03 3.63644e+04  9.95950e+07 9.96002e+07 
8.09695e-03 3.67429e+04  1.02634e+08 1.02639e+08 
8.21904e-03 3.65888e+04  1.05717e+08 1.05722e+08 
8.34111e-03 3.61946e+04  1.08844e+08 1.08849e+08 
8.46316e-03 3.61864e+04  1.12016e+08 1.12021e+08 
8.58520e-03 3.65272e+04  1.15231e+08 1.15236e+08 
8.70722e-03 3.66437e+04  1.18490e+08 1.18496e+08 
8.82922e-03 3.63639e+04  1.21794e+08 1.21799e+08 
8.95120e-03 3.61619e+04  1.25141e+08 1.25146e+08 
9.07317e-03 3.63302e+04  1.28532e+08 1.28537e+08 
9.19512e-03 3.65632e+04  1.31966e+08 1.31972e+08 
9.31705e-03 3.64777e+04  1.35444e+08 1.35450e+08 
9.43897e-03 3.62338e+04  1.38966e+08 1.38971e+08 
9.56086e-03 3.62197e+04  1.42532e+08 1.42537e+08 
9.68274e-03 3.64240e+04  1.46141e+08 1.46146e+08 
9.80461e-03 3.64966e+04  1.49793e+08 1.49798e+08 
9.92645e-03 3.63268e+04  1.53489e+08 1.53494e+08 
1.00000e-02 3.62094e+04  1.55741e+08 1.55746e+08 
