1.14474e-04 7.80000e+01  2.01598e+01 2.01598e+01 
2.28949e-04 7.80000e+01  8.06392e+01 8.06392e+01 
3.43423e-04 7.80000e+01  1.81438e+02 1.81438e+02 
4.57898e-04 7.80000e+01  3.22557e+02 3.22557e+02 
5.72372e-04 7.80000e+01  5.03995e+02 5.03995e+02 
6.86846e-04 7.80000e+01  7.25753e+02 7.25753e+02 
8.01321e-04 7.80000e+01  9.87830e+02 9.87830e+02 
9.15795e-04 7.80000e+01  1.29023e+03 1.29023e+03 
1.03027e-03 7.80000e+01  1.63294e+03 1.63294e+03 
1.14474e-03 7.80000e+01  2.01598e+03 2.01598e+03 
1.25922e-03 7.80000e+01  2.43933e+03 2.43933e+03 
1.37369e-03 7.80000e+01  2.90301e+03 2.90301e+03 
1.48817e-03 7.80000e+01  3.40701e+03 3.40701e+03 
1.60264e-03 7.80000e+01  3.95132e+03 3.95132e+03 
1.71712e-03 7.80000e+01  4.53595e+03 4.53595e+03 
1.83159e-03 7.80000e+01  5.16091e+03 5.16091e+03 
1.94606e-03 7.80000e+01  5.82618e+03 5.82618e+03 
2.06054e-03 7.80000e+01  6.53177e+03 6.53177e+03 
2.17501e-03 7.80000e+01  7.27769e+03 7.27769e+03 
2.28949e-03 7.80000e+01  8.06392e+03 8.06392e+03 
2.40396e-03 7.80000e+01  8.89047e+03 8.89047e+03 
2.51844e-03 7.80000e+01  9.75734e+03 9.75734e+03 
2.63291e-03 7.80000e+01  1.06645e+04 1.06645e+04 
2.74739e-03 7.80000e+01  1.16120e+04 1.16120e+04 
2.86186e-03 7.80000e+01  1.25999e+04 1.25999e+04 
2.97633e-03 7.80000e+01  1.36280e+04 1.36280e+04 
3.09081e-03 7.80000e+01  1.46965e+04 1.46965e+04 
3.20528e-03 7.80000e+01  1.58053e+04 1.58053e+04 
3.31976e-03 7.80000e+01  1.69544e+04 1.69544e+04 
3.43423e-03 7.80000e+01  1.81438e+04 1.81438e+04 
3.54871e-03 7.80000e+01  1.93736e+04 1.93736e+04 
3.66318e-03 7.80000e+01  2.06436e+04 2.06436e+04 
3.77766e-03 7.80000e+01  2.19540e+04 2.19540e+04 
3.89213e-03 7.80000e+01  2.33047e+04 2.33047e+04 
4.00660e-03 7.80000e+01  2.46957e+04 2.46957e+04 
4.12108e-03 7.80000e+01  2.61271e+04 2.61271e+04 
4.23555e-03 7.80000e+01  2.75988e+04 2.75988e+04 
4.35003e-03 7.80000e+01  2.91107e+04 2.91107e+04 
4.46450e-03 7.80000e+01  3.06630e+04 3.06630e+04 
4.57898e-03 7.80000e+01  3.22557e+04 3.22557e+04 
4.69345e-03 7.80000e+01  3.38886e+04 3.38886e+04 
4.80793e-03 7.80000e+01  3.55619e+04 3.55619e+04 
4.92240e-03 7.80000e+01  3.72755e+04 3.72755e+04 
5.03687e-03 7.80000e+01  3.90294e+04 3.90294e+04 
5.15135e-03 7.80000e+01  4.08236e+04 4.08236e+04 
5.26582e-03 7.80000e+01  4.26581e+04 4.26581e+04 
5.38030e-03 7.80000e+01  4.45330e+04 4.45330e+04 
5.49477e-03 7.80000e+01  4.64482e+04 4.64482e+04 
5.60925e-03 7.80000e+01  4.84037e+04 4.84037e+04 
5.72372e-03 7.80000e+01  5.03995e+04 5.03995e+04 
5.83819e-03 7.80000e+01  5.24356e+04 5.24356e+04 
5.95267e-03 7.80000e+01  5.45121e+04 5.45121e+04 
6.06714e-03 7.80000e+01  5.66289e+04 5.66289e+04 
