1.14474e-04 3.12000e-06  8.06392e-07 8.06392e-07 
2.28949e-04 3.12000e-06  3.22557e-06 3.22557e-06 
3.43423e-04 3.12000e-06  7.25753e-06 7.25753e-06 
4.57898e-04 3.12000e-06  1.29023e-05 1.29023e-05 
5.72372e-04 3.12000e-06  2.01598e-05 2.01598e-05 
6.86846e-04 3.12000e-06  2.90301e-05 2.90301e-05 
8.01321e-04 3.12000e-06  3.95132e-05 3.95132e-05 
9.15795e-04 3.12000e-06  5.16091e-05 5.16091e-05 
1.03027e-03 3.12000e-06  6.53177e-05 6.53177e-05 
1.14474e-03 3.12000e-06  8.06392e-05 8.06392e-05 
1.25922e-03 3.12000e-06  9.75734e-05 9.75734e-05 
1.37369e-03 3.12000e-06  1.16120e-04 1.16120e-04 
1.48817e-03 3.12000e-06  1.36280e-04 1.36280e-04 
1.60264e-03 3.12000e-06  1.58053e-04 1.58053e-04 
1.71712e-03 3.12000e-06  1.81438e-04 1.81438e-04 
1.83159e-03 3.12000e-06  2.06436e-04 2.06436e-04 
1.94606e-03 3.12000e-06  2.33047e-04 2.33047e-04 
2.06054e-03 3.12000e-06  2.61271e-04 2.61271e-04 
2.17501e-03 3.12000e-06  2.91107e-04 2.91107e-04 
2.28949e-03 3.12000e-06  3.22557e-04 3.22557e-04 
2.40396e-03 3.12000e-06  3.55619e-04 3.55619e-04 
2.51844e-03 3.12000e-06  3.90294e-04 3.90294e-04 
2.63291e-03 3.12000e-06  4.26581e-04 4.26581e-04 
2.74739e-03 3.12000e-06  4.64482e-04 4.64482e-04 
2.86186e-03 3.12000e-06  5.03995e-04 5.03995e-04 
2.97633e-03 3.12000e-06  5.45121e-04 5.45121e-04 
3.09081e-03 3.12000e-06  5.87860e-04 5.87860e-04 
3.20528e-03 3.12000e-06  6.32211e-04 6.32211e-04 
3.31976e-03 3.12000e-06  6.78175e-04 6.78175e-04 
3.43423e-03 3.12000e-06  7.25753e-04 7.25753e-04 
3.54871e-03 3.12000e-06  7.74942e-04 7.74942e-04 
3.66318e-03 3.12000e-06  8.25745e-04 8.25745e-04 
3.77766e-03 3.12000e-06  8.78161e-04 8.78161e-04 
3.89213e-03 3.12000e-06  9.32189e-04 9.32189e-04 
4.00660e-03 3.12000e-06  9.87830e-04 9.87830e-04 
4.12108e-03 3.12000e-06  1.04508e-03 1.04508e-03 
4.23555e-03 3.12000e-06  1.10395e-03 1.10395e-03 
4.35003e-03 3.12000e-06  1.16443e-03 1.16443e-03 
4.46450e-03 3.12000e-06  1.22652e-03 1.22652e-03 
4.57898e-03 3.12000e-06  1.29023e-03 1.29023e-03 
4.69345e-03 3.12000e-06  1.35554e-03 1.35554e-03 
4.80793e-03 3.12000e-06  1.42248e-03 1.42248e-03 
