1.23266e-04 1.23418e+03  1.20613e+03 1.20613e+03 
2.46531e-04 1.82220e+03  3.50639e+03 4.21949e+03 
3.69791e-04 1.55025e+03  7.95649e+03 8.32640e+03 
4.93043e-04 1.12565e+03  1.38801e+04 1.38627e+04 
6.16293e-04 1.11341e+03  2.15614e+04 2.15477e+04 
7.39542e-04 1.41593e+03  3.11163e+04 3.13665e+04 
8.62790e-04 1.69872e+03  4.20663e+04 4.26655e+04 
9.86031e-04 1.31571e+03  5.50438e+04 5.51969e+04 
1.10927e-03 1.12100e+03  6.94271e+04 6.94480e+04 
1.23250e-03 1.19143e+03  8.57846e+04 8.58358e+04 
1.35573e-03 1.51792e+03  1.03684e+05 1.04087e+05 
1.47896e-03 1.51682e+03  1.23317e+05 1.23719e+05 
1.60219e-03 1.21304e+03  1.44696e+05 1.44782e+05 
1.72541e-03 1.14495e+03  1.67686e+05 1.67731e+05 
1.84862e-03 1.29661e+03  1.92532e+05 1.92701e+05 
1.97184e-03 1.51499e+03  2.18917e+05 2.19334e+05 
2.09505e-03 1.36867e+03  2.47120e+05 2.47369e+05 
2.21826e-03 1.18217e+03  2.76942e+05 2.77021e+05 
2.34146e-03 1.19515e+03  3.08521e+05 3.08609e+05 
2.46466e-03 1.37565e+03  3.41802e+05 3.42068e+05 
2.58786e-03 1.44943e+03  3.76732e+05 3.77082e+05 
2.71105e-03 1.27923e+03  4.13418e+05 4.13586e+05 
2.83424e-03 1.18793e+03  4.51744e+05 4.51835e+05 
2.95743e-03 1.25837e+03  4.91839e+05 4.91990e+05 
3.08061e-03 1.40383e+03  5.33579e+05 5.33883e+05 
3.20379e-03 1.37171e+03  5.77035e+05 5.77304e+05 
3.32697e-03 1.23800e+03  6.22182e+05 6.22318e+05 
3.45014e-03 1.21492e+03  6.69024e+05 6.69141e+05 
3.57331e-03 1.31247e+03  7.17588e+05 7.17798e+05 
3.69648e-03 1.38937e+03  7.67811e+05 7.68104e+05 
3.81964e-03 1.31076e+03  8.19755e+05 8.19963e+05 
3.94280e-03 1.22845e+03  8.73372e+05 8.73503e+05 
4.06596e-03 1.25186e+03  9.28707e+05 9.28859e+05 
4.18911e-03 1.34235e+03  9.85726e+05 9.85970e+05 
4.31226e-03 1.35466e+03  1.04443e+06 1.04469e+06 
4.43540e-03 1.27415e+03  1.10484e+06 1.10501e+06 
4.55855e-03 1.23810e+03  1.16693e+06 1.16707e+06 
4.68169e-03 1.28678e+03  1.23073e+06 1.23092e+06 
4.80482e-03 1.34686e+03  1.29620e+06 1.29645e+06 
4.92795e-03 1.31900e+03  1.36338e+06 1.36360e+06 
5.05108e-03 1.25868e+03  1.43223e+06 1.43239e+06 
5.17421e-03 1.25752e+03  1.50279e+06 1.50295e+06 
5.29733e-03 1.31051e+03  1.57503e+06 1.57525e+06 
5.42045e-03 1.33459e+03  1.64896e+06 1.64920e+06 
5.54357e-03 1.29250e+03  1.72458e+06 1.72478e+06 
5.66668e-03 1.25821e+03  1.80189e+06 1.80205e+06 
5.78979e-03 1.27863e+03  1.88089e+06 1.88107e+06 
5.91289e-03 1.32007e+03  1.96157e+06 1.96179e+06 
6.03599e-03 1.31617e+03  2.04394e+06 2.04416e+06 
6.15909e-03 1.27765e+03  2.12799e+06 2.12817e+06 
6.28219e-03 1.26657e+03  2.21374e+06 2.21391e+06 
6.40528e-03 1.29527e+03  2.30117e+06 2.30137e+06 
6.52837e-03 1.31810e+03  2.39028e+06 2.39050e+06 
