1.14474e-04 5.35008e+04  4.66880e+04 4.66880e+04 
2.28949e-04 7.78577e+04  1.36967e+05 1.65002e+05 
3.43394e-04 7.47373e+04  3.02071e+05 3.26280e+05 
4.57754e-04 5.29184e+04  5.34955e+05 5.36148e+05 
5.72132e-04 4.89732e+04  8.20739e+05 8.20936e+05 
6.86508e-04 5.38438e+04  1.18846e+06 1.19090e+06 
8.00880e-04 7.09687e+04  1.60703e+06 1.62856e+06 
9.15225e-04 6.96585e+04  2.09400e+06 2.11396e+06 
1.02952e-03 5.39821e+04  2.64706e+06 2.65055e+06 
1.14380e-03 4.98496e+04  3.25710e+06 3.25819e+06 
1.25808e-03 5.42562e+04  3.94112e+06 3.94514e+06 
1.37235e-03 6.64965e+04  4.68114e+06 4.69846e+06 
1.48660e-03 6.59575e+04  5.48611e+06 5.50281e+06 
1.60082e-03 5.46848e+04  6.35548e+06 6.36041e+06 
1.71501e-03 5.09294e+04  7.28390e+06 7.28607e+06 
1.82919e-03 5.46607e+04  8.28126e+06 8.28633e+06 
1.94336e-03 6.35056e+04  9.33706e+06 9.35156e+06 
2.05752e-03 6.32543e+04  1.04558e+07 1.04700e+07 
2.17164e-03 5.51139e+04  1.16373e+07 1.16431e+07 
2.28574e-03 5.19578e+04  1.28788e+07 1.28820e+07 
2.39983e-03 5.50125e+04  1.41860e+07 1.41918e+07 
2.51390e-03 6.14435e+04  1.55525e+07 1.55651e+07 
2.62796e-03 6.12680e+04  1.69806e+07 1.69929e+07 
2.74199e-03 5.53534e+04  1.84702e+07 1.84765e+07 
2.85600e-03 5.28327e+04  2.00199e+07 2.00240e+07 
2.97000e-03 5.52909e+04  2.16330e+07 2.16393e+07 
3.08398e-03 5.99785e+04  2.33056e+07 2.33168e+07 
3.19794e-03 5.97949e+04  2.50387e+07 2.50496e+07 
3.31188e-03 5.54681e+04  2.68322e+07 2.68387e+07 
3.42580e-03 5.35288e+04  2.86856e+07 2.86903e+07 
3.53970e-03 5.54912e+04  3.06006e+07 3.06072e+07 
3.65359e-03 5.89060e+04  3.25748e+07 3.25849e+07 
3.76746e-03 5.86896e+04  3.46086e+07 3.46185e+07 
3.88131e-03 5.55036e+04  3.67019e+07 3.67085e+07 
