1.12210e-04 5.87069e+04  4.62323e+04 4.62323e+04 
2.24421e-04 5.91216e+04  1.40341e+05 1.41162e+05 
3.36464e-04 4.89624e+04  2.86695e+05 2.86772e+05 
4.48616e-04 5.56935e+04  5.14896e+05 5.18397e+05 
5.60761e-04 5.64561e+04  7.97515e+05 8.02280e+05 
6.72827e-04 5.01362e+04  1.13980e+06 1.14114e+06 
7.84922e-04 5.43398e+04  1.55135e+06 1.55574e+06 
8.97006e-04 5.50203e+04  2.02203e+06 2.02738e+06 
1.00906e-03 5.12509e+04  2.55428e+06 2.55675e+06 
1.12110e-03 5.37086e+04  3.15130e+06 3.15583e+06 
1.23312e-03 5.42175e+04  3.80918e+06 3.81434e+06 
1.34512e-03 5.20202e+04  4.52894e+06 4.53218e+06 
1.45710e-03 5.34076e+04  5.31176e+06 5.31625e+06 
1.56907e-03 5.37605e+04  6.15602e+06 6.16092e+06 
1.68101e-03 5.24956e+04  7.06209e+06 7.06580e+06 
1.79294e-03 5.32631e+04  8.03043e+06 8.03487e+06 
1.90485e-03 5.34975e+04  9.06032e+06 9.06501e+06 
2.01673e-03 5.27749e+04  1.01518e+07 1.01558e+07 
2.12860e-03 5.31941e+04  1.13052e+07 1.13096e+07 
2.24045e-03 5.33453e+04  1.25200e+07 1.25246e+07 
2.35228e-03 5.29346e+04  1.37963e+07 1.38004e+07 
2.46410e-03 5.31618e+04  1.51341e+07 1.51384e+07 
2.57589e-03 5.32571e+04  1.65331e+07 1.65376e+07 
2.68767e-03 5.30246e+04  1.79934e+07 1.79977e+07 
2.79942e-03 5.31470e+04  1.95150e+07 1.95194e+07 
2.91116e-03 5.32060e+04  2.10977e+07 2.11021e+07 
3.02288e-03 5.30748e+04  2.27414e+07 2.27457e+07 
3.13458e-03 5.31405e+04  2.44461e+07 2.44504e+07 
3.24626e-03 5.31765e+04  2.62117e+07 2.62161e+07 
3.35792e-03 5.31026e+04  2.80381e+07 2.80424e+07 
3.46957e-03 5.31379e+04  2.99253e+07 2.99297e+07 
3.58119e-03 5.31596e+04  3.18732e+07 3.18776e+07 
3.69280e-03 5.31181e+04  3.38817e+07 3.38861e+07 
3.80439e-03 5.31369e+04  3.59508e+07 3.59552e+07 
3.91596e-03 5.31498e+04  3.80803e+07 3.80847e+07 
4.02750e-03 5.31266e+04  4.02703e+07 4.02746e+07 
4.13904e-03 5.31366e+04  4.25206e+07 4.25249e+07 
4.25055e-03 5.31443e+04  4.48311e+07 4.48354e+07 
4.36204e-03 5.31312e+04  4.72018e+07 4.72061e+07 
4.47352e-03 5.31366e+04  4.96326e+07 4.96370e+07 
