1.14474e-04 3.72832e-06  2.99045e-06 2.99045e-06 
2.28949e-04 3.82702e-06  9.17067e-06 9.36064e-06 
3.43423e-04 3.12722e-06  1.90434e-05 1.90492e-05 
4.57898e-04 3.53209e-06  3.43779e-05 3.44375e-05 
5.72372e-04 3.74334e-06  5.30761e-05 5.35004e-05 
6.86846e-04 3.17493e-06  7.59464e-05 7.59894e-05 
8.01321e-04 3.43665e-06  1.03567e-04 1.03693e-04 
9.15795e-04 3.66123e-06  1.34903e-04 1.35374e-04 
1.03027e-03 3.23534e-06  1.70522e-04 1.70620e-04 
1.14474e-03 3.39119e-06  2.10558e-04 2.10731e-04 
1.25922e-03 3.59150e-06  2.54542e-04 2.54992e-04 
1.37369e-03 3.28955e-06  3.02800e-04 3.02953e-04 
1.48817e-03 3.37151e-06  3.55332e-04 3.55536e-04 
1.60264e-03 3.53659e-06  4.11945e-04 4.12357e-04 
1.71712e-03 3.33147e-06  4.72800e-04 4.72999e-04 
1.83159e-03 3.36540e-06  5.37873e-04 5.38097e-04 
1.94606e-03 3.49528e-06  6.07095e-04 6.07470e-04 
2.06054e-03 3.36102e-06  6.80532e-04 6.80765e-04 
2.17501e-03 3.36630e-06  7.58169e-04 7.58406e-04 
2.28949e-03 3.46514e-06  8.39986e-04 8.40331e-04 
2.40396e-03 3.38043e-06  9.26002e-04 9.26257e-04 
2.51844e-03 3.37049e-06  1.01621e-03 1.01646e-03 
2.63291e-03 3.44366e-06  1.11062e-03 1.11094e-03 
2.74739e-03 3.39236e-06  1.20921e-03 1.20948e-03 
2.86186e-03 3.37584e-06  1.31200e-03 1.31225e-03 
2.97633e-03 3.42866e-06  1.41898e-03 1.41929e-03 
3.09081e-03 3.39918e-06  1.53016e-03 1.53044e-03 
3.20528e-03 3.38120e-06  1.64553e-03 1.64579e-03 
3.31976e-03 3.41840e-06  1.76509e-03 1.76539e-03 
3.43423e-03 3.40269e-06  1.88885e-03 1.88913e-03 
3.54871e-03 3.38599e-06  2.01680e-03 2.01706e-03 
3.66318e-03 3.41153e-06  2.14894e-03 2.14923e-03 
3.77766e-03 3.40419e-06  2.28528e-03 2.28556e-03 
3.89213e-03 3.38996e-06  2.42580e-03 2.42607e-03 
4.00660e-03 3.40704e-06  2.57053e-03 2.57082e-03 
4.12108e-03 3.40454e-06  2.71944e-03 2.71973e-03 
4.23555e-03 3.39310e-06  2.87255e-03 2.87283e-03 
4.35003e-03 3.40419e-06  3.02986e-03 3.03014e-03 
4.46450e-03 3.40429e-06  3.19135e-03 3.19164e-03 
4.57898e-03 3.39549e-06  3.35704e-03 3.35732e-03 
4.69345e-03 3.40244e-06  3.52692e-03 3.52721e-03 
4.80792e-03 3.40378e-06  3.70100e-03 3.70128e-03 
4.92240e-03 3.39724e-06  3.87927e-03 3.87955e-03 
5.03687e-03 3.40142e-06  4.06173e-03 4.06201e-03 
5.15135e-03 3.40321e-06  4.24839e-03 4.24867e-03 
5.26582e-03 3.39850e-06  4.43924e-03 4.43951e-03 
5.38030e-03 3.40086e-06  4.63428e-03 4.63456e-03 
5.49477e-03 3.40267e-06  4.83351e-03 4.83380e-03 
5.60925e-03 3.39936e-06  5.03694e-03 5.03722e-03 
5.72372e-03 3.40059e-06  5.24456e-03 5.24485e-03 
5.83819e-03 3.40220e-06  5.45638e-03 5.45666e-03 
5.95267e-03 3.39995e-06  5.67239e-03 5.67267e-03 
6.06714e-03 3.40049e-06  5.89259e-03 5.89287e-03 
6.18162e-03 3.40182e-06  6.11699e-03 6.11727e-03 
6.29609e-03 3.40033e-06  6.34558e-03 6.34586e-03 
6.41057e-03 3.40047e-06  6.57836e-03 6.57864e-03 
6.52504e-03 3.40153e-06  6.81533e-03 6.81561e-03 
6.63952e-03 3.40057e-06  7.05650e-03 7.05678e-03 
6.75399e-03 3.40051e-06  7.30186e-03 7.30214e-03 
6.86846e-03 3.40131e-06  7.55142e-03 7.55170e-03 
6.98294e-03 3.40072e-06  7.80517e-03 7.80545e-03 
7.09741e-03 3.40056e-06  8.06311e-03 8.06339e-03 
7.21189e-03 3.40115e-06  8.32524e-03 8.32553e-03 
7.32636e-03 3.40080e-06  8.59157e-03 8.59185e-03 
7.44084e-03 3.40062e-06  8.86209e-03 8.86237e-03 
7.55531e-03 3.40104e-06  9.13681e-03 9.13709e-03 
7.66978e-03 3.40085e-06  9.41572e-03 9.41600e-03 
7.78426e-03 3.40067e-06  9.69882e-03 9.69910e-03 
7.89873e-03 3.40096e-06  9.98611e-03 9.98640e-03 
8.01321e-03 3.40087e-06  1.02776e-02 1.02779e-02 
8.12768e-03 3.40072e-06  1.05733e-02 1.05736e-02 
