2.61133e-05 3.12442e+04  3.64896e+03 3.64896e+03 
5.22267e-05 3.17723e+04  1.34840e+04 1.39435e+04 
7.83400e-05 3.34668e+04  2.78421e+04 2.99381e+04 
1.04453e-04 3.67288e+04  4.56747e+04 5.10163e+04 
1.30566e-04 4.12959e+04  6.66409e+04 7.65821e+04 
1.56678e-04 4.61996e+04  9.12420e+04 1.06150e+05 
1.82789e-04 5.01006e+04  1.20521e+05 1.39391e+05 
2.08899e-04 5.18364e+04  1.55500e+05 1.76136e+05 
2.35008e-04 5.09082e+04  1.96663e+05 2.16355e+05 
2.61115e-04 4.76748e+04  2.43740e+05 2.60150e+05 
2.87220e-04 4.31681e+04  2.95890e+05 3.07739e+05 
3.13324e-04 3.86382e+04  3.52170e+05 3.59458e+05 
3.39427e-04 3.50583e+04  4.12030e+05 4.15747e+05 
3.65528e-04 3.28224e+04  4.75579e+05 4.77102e+05 
3.91629e-04 3.17577e+04  5.43496e+05 5.44008e+05 
4.17729e-04 3.14026e+04  6.16651e+05 6.16847e+05 
4.43829e-04 3.13744e+04  6.95645e+05 6.95817e+05 
4.69929e-04 3.16184e+04  7.80505e+05 7.80892e+05 
4.96028e-04 3.24102e+04  8.70692e+05 8.71826e+05 
5.22127e-04 3.41255e+04  9.65396e+05 9.68210e+05 
5.48226e-04 3.69187e+04  1.06396e+06 1.06956e+06 
5.74325e-04 4.04979e+04  1.16620e+06 1.17540e+06 
6.00423e-04 4.41295e+04  1.27248e+06 1.28535e+06 
6.26520e-04 4.68812e+04  1.38347e+06 1.39913e+06 
6.52616e-04 4.79874e+04  1.49981e+06 1.51660e+06 
6.78710e-04 4.71585e+04  1.62179e+06 1.63774e+06 
7.04803e-04 4.46872e+04  1.74919e+06 1.76263e+06 
7.30895e-04 4.13078e+04  1.88146e+06 1.89149e+06 
7.56985e-04 3.78871e+04  2.01800e+06 2.02459e+06 
7.83074e-04 3.51005e+04  2.15850e+06 2.16231e+06 
8.09162e-04 3.32424e+04  2.30306e+06 2.30504e+06 
8.35250e-04 3.22410e+04  2.45215e+06 2.45317e+06 
8.61336e-04 3.18399e+04  2.60633e+06 2.60697e+06 
8.87423e-04 3.18287e+04  2.76595e+06 2.76658e+06 
9.13509e-04 3.21892e+04  2.93100e+06 2.93197e+06 
9.39594e-04 3.30831e+04  3.10109e+06 3.10292e+06 
9.65680e-04 3.46979e+04  3.27570e+06 3.27912e+06 
9.91765e-04 3.70476e+04  3.45441e+06 3.46018e+06 
1.01785e-03 3.98470e+04  3.63714e+06 3.64573e+06 
1.04393e-03 4.25396e+04  3.82413e+06 3.83544e+06 
1.07002e-03 4.44742e+04  4.01584e+06 4.02911e+06 
1.09610e-03 4.51495e+04  4.21266e+06 4.22661e+06 
1.12218e-03 4.44078e+04  4.41474e+06 4.42793e+06 
1.14826e-03 4.24884e+04  4.62191e+06 4.63317e+06 
1.17434e-03 3.99203e+04  4.83382e+06 4.84249e+06 
1.20041e-03 3.73113e+04  5.05009e+06 5.05614e+06 
