1.23266e-04 4.87500e+04  1.46094e+04 1.46094e+04 
2.46531e-04 4.87500e+04  5.84376e+04 5.84376e+04 
3.69797e-04 4.87500e+04  1.31485e+05 1.31485e+05 
4.93062e-04 4.87500e+04  2.33750e+05 2.33750e+05 
6.16328e-04 4.87500e+04  3.65235e+05 3.65235e+05 
7.39593e-04 4.87500e+04  5.25938e+05 5.25938e+05 
8.62859e-04 4.87500e+04  7.15861e+05 7.15861e+05 
9.86124e-04 4.87500e+04  9.35002e+05 9.35002e+05 
1.10939e-03 4.87500e+04  1.18336e+06 1.18336e+06 
1.23266e-03 4.87500e+04  1.46094e+06 1.46094e+06 
1.35592e-03 4.87500e+04  1.76774e+06 1.76774e+06 
1.47919e-03 4.87500e+04  2.10375e+06 2.10375e+06 
1.60245e-03 4.87500e+04  2.46899e+06 2.46899e+06 
1.72572e-03 4.87500e+04  2.86344e+06 2.86344e+06 
1.84898e-03 4.87500e+04  3.28712e+06 3.28712e+06 
1.97225e-03 4.87500e+04  3.74001e+06 3.74001e+06 
2.09551e-03 4.87500e+04  4.22212e+06 4.22212e+06 
2.21878e-03 4.87500e+04  4.73345e+06 4.73345e+06 
2.34204e-03 4.87500e+04  5.27399e+06 5.27399e+06 
2.46531e-03 4.87500e+04  5.84376e+06 5.84376e+06 
2.58858e-03 4.87500e+04  6.44275e+06 6.44275e+06 
2.71184e-03 4.87500e+04  7.07095e+06 7.07095e+06 
2.83511e-03 4.87500e+04  7.72837e+06 7.72837e+06 
2.95837e-03 4.87500e+04  8.41502e+06 8.41502e+06 
3.08164e-03 4.87500e+04  9.13088e+06 9.13088e+06 
3.20490e-03 4.87500e+04  9.87596e+06 9.87596e+06 
3.32817e-03 4.87500e+04  1.06503e+07 1.06503e+07 
3.45143e-03 4.87500e+04  1.14538e+07 1.14538e+07 
3.57470e-03 4.87500e+04  1.22865e+07 1.22865e+07 
3.69797e-03 4.87500e+04  1.31485e+07 1.31485e+07 
3.82123e-03 4.87500e+04  1.40396e+07 1.40396e+07 
3.94450e-03 4.87500e+04  1.49600e+07 1.49600e+07 
4.06776e-03 4.87500e+04  1.59096e+07 1.59096e+07 
4.19103e-03 4.87500e+04  1.68885e+07 1.68885e+07 
4.31429e-03 4.87500e+04  1.78965e+07 1.78965e+07 
4.43756e-03 4.87500e+04  1.89338e+07 1.89338e+07 
4.56082e-03 4.87500e+04  2.00003e+07 2.00003e+07 
4.68409e-03 4.87500e+04  2.10960e+07 2.10960e+07 
4.80735e-03 4.87500e+04  2.22209e+07 2.22209e+07 
4.93062e-03 4.87500e+04  2.33750e+07 2.33750e+07 
5.05389e-03 4.87500e+04  2.45584e+07 2.45584e+07 
5.17715e-03 4.87500e+04  2.57710e+07 2.57710e+07 
5.30042e-03 4.87500e+04  2.70128e+07 2.70128e+07 
5.42368e-03 4.87500e+04  2.82838e+07 2.82838e+07 
5.54695e-03 4.87500e+04  2.95840e+07 2.95840e+07 
5.67021e-03 4.87500e+04  3.09135e+07 3.09135e+07 
5.79348e-03 4.87500e+04  3.22722e+07 3.22722e+07 
5.91674e-03 4.87500e+04  3.36601e+07 3.36601e+07 
6.04001e-03 4.87500e+04  3.50772e+07 3.50772e+07 
6.16328e-03 4.87500e+04  3.65235e+07 3.65235e+07 
6.28654e-03 4.87500e+04  3.79991e+07 3.79991e+07 
6.40981e-03 4.87500e+04  3.95038e+07 3.95038e+07 
6.53307e-03 4.87500e+04  4.10378e+07 4.10378e+07 
6.65634e-03 4.87500e+04  4.26010e+07 4.26010e+07 
6.77960e-03 4.87500e+04  4.41934e+07 4.41934e+07 
6.90287e-03 4.87500e+04  4.58151e+07 4.58151e+07 
7.02613e-03 4.87500e+04  4.74659e+07 4.74659e+07 
7.14940e-03 4.87500e+04  4.91460e+07 4.91460e+07 
7.27266e-03 4.87500e+04  5.08553e+07 5.08553e+07 
7.39593e-03 4.87500e+04  5.25938e+07 5.25938e+07 
7.51920e-03 4.87500e+04  5.43616e+07 5.43616e+07 
7.64246e-03 4.87500e+04  5.61585e+07 5.61585e+07 
7.76573e-03 4.87500e+04  5.79847e+07 5.79847e+07 
7.88899e-03 4.87500e+04  5.98401e+07 5.98401e+07 
8.01226e-03 4.87500e+04  6.17247e+07 6.17247e+07 
8.13552e-03 4.87500e+04  6.36386e+07 6.36386e+07 
8.25879e-03 4.87500e+04  6.55816e+07 6.55816e+07 
8.38205e-03 4.87500e+04  6.75539e+07 6.75539e+07 
8.50532e-03 4.87500e+04  6.95554e+07 6.95554e+07 
8.62859e-03 4.87500e+04  7.15861e+07 7.15861e+07 
8.75185e-03 4.87500e+04  7.36460e+07 7.36460e+07 
8.87512e-03 4.87500e+04  7.57351e+07 7.57351e+07 
8.99838e-03 4.87500e+04  7.78535e+07 7.78535e+07 
9.12165e-03 4.87500e+04  8.00011e+07 8.00011e+07 
9.24491e-03 4.87500e+04  8.21779e+07 8.21779e+07 
9.36818e-03 4.87500e+04  8.43839e+07 8.43839e+07 
9.49144e-03 4.87500e+04  8.66191e+07 8.66191e+07 
9.61471e-03 4.87500e+04  8.88836e+07 8.88836e+07 
9.73798e-03 4.87500e+04  9.11773e+07 9.11773e+07 
9.86124e-03 4.87500e+04  9.35002e+07 9.35002e+07 
9.98451e-03 4.87500e+04  9.58523e+07 9.58523e+07 
1.00000e-02 4.87500e+04  9.61500e+07 9.61500e+07 
