2.76588e-04 9.75000e+03  2.86478e+04 2.86478e+04 
4.15025e-04 9.75000e+03  7.63990e+04 7.63990e+04 
5.53558e-04 9.75000e+03  1.43256e+05 1.43256e+05 
6.92186e-04 9.75000e+03  2.29221e+05 2.29221e+05 
8.30911e-04 9.75000e+03  3.34297e+05 3.34297e+05 
9.69731e-04 9.75000e+03  4.58486e+05 4.58486e+05 
1.10865e-03 9.75000e+03  6.01791e+05 6.01791e+05 
1.24766e-03 9.75000e+03  7.64213e+05 7.64213e+05 
1.38677e-03 9.75000e+03  9.45755e+05 9.45755e+05 
1.52597e-03 9.75000e+03  1.14642e+06 1.14642e+06 
1.66527e-03 9.75000e+03  1.36621e+06 1.36621e+06 
1.80467e-03 9.75000e+03  1.60513e+06 1.60513e+06 
1.94416e-03 9.75000e+03  1.86318e+06 1.86318e+06 
2.08375e-03 9.75000e+03  2.14036e+06 2.14036e+06 
2.22344e-03 9.75000e+03  2.43667e+06 2.43667e+06 
2.36322e-03 9.75000e+03  2.75213e+06 2.75213e+06 
2.50310e-03 9.75000e+03  3.08672e+06 3.08672e+06 
2.64308e-03 9.75000e+03  3.44046e+06 3.44046e+06 
2.78315e-03 9.75000e+03  3.81334e+06 3.81334e+06 
2.92332e-03 9.75000e+03  4.20537e+06 4.20537e+06 
3.06359e-03 9.75000e+03  4.61655e+06 4.61655e+06 
3.20395e-03 9.75000e+03  5.04688e+06 5.04688e+06 
3.34441e-03 9.75000e+03  5.49637e+06 5.49637e+06 
3.48497e-03 9.75000e+03  5.96502e+06 5.96502e+06 
3.62562e-03 9.75000e+03  6.45283e+06 6.45283e+06 
3.76638e-03 9.75000e+03  6.95980e+06 6.95980e+06 
3.90723e-03 9.75000e+03  7.48594e+06 7.48594e+06 
4.04817e-03 9.75000e+03  8.03124e+06 8.03124e+06 
4.18922e-03 9.75000e+03  8.59572e+06 8.59572e+06 
4.33036e-03 9.75000e+03  9.17937e+06 9.17937e+06 
4.47160e-03 9.75000e+03  9.78220e+06 9.78220e+06 
4.61294e-03 9.75000e+03  1.04042e+07 1.04042e+07 
4.75437e-03 9.75000e+03  1.10454e+07 1.10454e+07 
4.89590e-03 9.75000e+03  1.17058e+07 1.17058e+07 
5.03753e-03 9.75000e+03  1.23853e+07 1.23853e+07 
5.17926e-03 9.75000e+03  1.30841e+07 1.30841e+07 
5.32109e-03 9.75000e+03  1.38020e+07 1.38020e+07 
5.46301e-03 9.75000e+03  1.45392e+07 1.45392e+07 
5.60503e-03 9.75000e+03  1.52955e+07 1.52955e+07 
5.74715e-03 9.75000e+03  1.60710e+07 1.60710e+07 
5.88937e-03 9.75000e+03  1.68658e+07 1.68658e+07 
6.03169e-03 9.75000e+03  1.76797e+07 1.76797e+07 
6.17410e-03 9.75000e+03  1.85129e+07 1.85129e+07 
6.31662e-03 9.75000e+03  1.93653e+07 1.93653e+07 
6.45923e-03 9.75000e+03  2.02369e+07 2.02369e+07 
6.60194e-03 9.75000e+03  2.11277e+07 2.11277e+07 
6.74475e-03 9.75000e+03  2.20377e+07 2.20377e+07 
6.88766e-03 9.75000e+03  2.29669e+07 2.29669e+07 
7.03066e-03 9.75000e+03  2.39154e+07 2.39154e+07 
7.17377e-03 9.75000e+03  2.48831e+07 2.48831e+07 
7.31698e-03 9.75000e+03  2.58701e+07 2.58701e+07 
7.46028e-03 9.75000e+03  2.68762e+07 2.68762e+07 
7.60368e-03 9.75000e+03  2.79017e+07 2.79017e+07 
7.74718e-03 9.75000e+03  2.89463e+07 2.89463e+07 
7.89078e-03 9.75000e+03  3.00102e+07 3.00102e+07 
8.03448e-03 9.75000e+03  3.10934e+07 3.10934e+07 
8.17828e-03 9.75000e+03  3.21958e+07 3.21958e+07 
8.32218e-03 9.75000e+03  3.33174e+07 3.33174e+07 
8.46618e-03 9.75000e+03  3.44583e+07 3.44583e+07 
8.61028e-03 9.75000e+03  3.56185e+07 3.56185e+07 
8.75448e-03 9.75000e+03  3.67979e+07 3.67979e+07 
8.89878e-03 9.75000e+03  3.79966e+07 3.79966e+07 
9.04317e-03 9.75000e+03  3.92145e+07 3.92145e+07 
9.18767e-03 9.75000e+03  4.04518e+07 4.04518e+07 
9.33227e-03 9.75000e+03  4.17083e+07 4.17083e+07 
9.47696e-03 9.75000e+03  4.29841e+07 4.29841e+07 
9.62176e-03 9.75000e+03  4.42791e+07 4.42791e+07 
9.76666e-03 9.75000e+03  4.55935e+07 4.55935e+07 
9.91165e-03 9.75000e+03  4.69271e+07 4.69271e+07 
1.00000e-02 9.75000e+03  4.77487e+07 4.77487e+07 
