4.04521e-05 6.24000e+02  3.27182e+02 3.27182e+02 
8.09124e-05 6.24000e+02  1.30880e+03 1.30880e+03 
1.21381e-04 6.24000e+02  2.94489e+03 2.94489e+03 
1.61858e-04 6.24000e+02  5.23547e+03 5.23547e+03 
2.02342e-04 6.24000e+02  8.18055e+03 8.18055e+03 
2.42836e-04 6.24000e+02  1.17802e+04 1.17802e+04 
2.83337e-04 6.24000e+02  1.60344e+04 1.60344e+04 
3.23846e-04 6.24000e+02  2.09431e+04 2.09431e+04 
3.64364e-04 6.24000e+02  2.65065e+04 2.65065e+04 
4.04890e-04 6.24000e+02  3.27245e+04 3.27245e+04 
4.45424e-04 6.24000e+02  3.95972e+04 3.95972e+04 
4.85966e-04 6.24000e+02  4.71245e+04 4.71245e+04 
5.26516e-04 6.24000e+02  5.53065e+04 5.53065e+04 
5.67075e-04 6.24000e+02  6.41433e+04 6.41433e+04 
6.07642e-04 6.24000e+02  7.36348e+04 7.36348e+04 
6.48217e-04 6.24000e+02  8.37811e+04 8.37811e+04 
6.88800e-04 6.24000e+02  9.45822e+04 9.45822e+04 
7.29391e-04 6.24000e+02  1.06038e+05 1.06038e+05 
7.69991e-04 6.24000e+02  1.18149e+05 1.18149e+05 
8.10599e-04 6.24000e+02  1.30914e+05 1.30914e+05 
8.51215e-04 6.24000e+02  1.44335e+05 1.44335e+05 
8.91839e-04 6.24000e+02  1.58410e+05 1.58410e+05 
9.32472e-04 6.24000e+02  1.73141e+05 1.73141e+05 
9.73113e-04 6.24000e+02  1.88526e+05 1.88526e+05 
1.01376e-03 6.24000e+02  2.04566e+05 2.04566e+05 
1.05442e-03 6.24000e+02  2.21262e+05 2.21262e+05 
1.09508e-03 6.24000e+02  2.38612e+05 2.38612e+05 
1.13576e-03 6.24000e+02  2.56618e+05 2.56618e+05 
1.17644e-03 6.24000e+02  2.75278e+05 2.75278e+05 
1.21713e-03 6.24000e+02  2.94594e+05 2.94594e+05 
1.25783e-03 6.24000e+02  3.14565e+05 3.14565e+05 
1.29853e-03 6.24000e+02  3.35191e+05 3.35191e+05 
1.33925e-03 6.24000e+02  3.56472e+05 3.56472e+05 
1.37997e-03 6.24000e+02  3.78408e+05 3.78408e+05 
1.42070e-03 6.24000e+02  4.01000e+05 4.01000e+05 
1.46144e-03 6.24000e+02  4.24247e+05 4.24247e+05 
1.50219e-03 6.24000e+02  4.48149e+05 4.48149e+05 
1.54295e-03 6.24000e+02  4.72706e+05 4.72706e+05 
1.58371e-03 6.24000e+02  4.97919e+05 4.97919e+05 
1.62448e-03 6.24000e+02  5.23787e+05 5.23787e+05 
1.66526e-03 6.24000e+02  5.50311e+05 5.50311e+05 
1.70605e-03 6.24000e+02  5.77490e+05 5.77490e+05 
1.74685e-03 6.24000e+02  6.05324e+05 6.05324e+05 
1.78766e-03 6.24000e+02  6.33814e+05 6.33814e+05 
1.82847e-03 6.24000e+02  6.62959e+05 6.62959e+05 
1.86929e-03 6.24000e+02  6.92760e+05 6.92760e+05 
1.91012e-03 6.24000e+02  7.23216e+05 7.23216e+05 
1.95096e-03 6.24000e+02  7.54328e+05 7.54328e+05 
1.99181e-03 6.24000e+02  7.86096e+05 7.86096e+05 
2.03266e-03 6.24000e+02  8.18519e+05 8.18519e+05 
2.07352e-03 6.24000e+02  8.51597e+05 8.51597e+05 
2.11440e-03 6.24000e+02  8.85332e+05 8.85332e+05 
2.15528e-03 6.24000e+02  9.19722e+05 9.19722e+05 
2.19616e-03 6.24000e+02  9.54768e+05 9.54768e+05 
2.23706e-03 6.24000e+02  9.90469e+05 9.90469e+05 
2.27797e-03 6.24000e+02  1.02683e+06 1.02683e+06 
2.31888e-03 6.24000e+02  1.06384e+06 1.06384e+06 
2.35980e-03 6.24000e+02  1.10151e+06 1.10151e+06 
2.40073e-03 6.24000e+02  1.13983e+06 1.13983e+06 
2.44167e-03 6.24000e+02  1.17881e+06 1.17881e+06 
2.48261e-03 6.24000e+02  1.21845e+06 1.21845e+06 
2.52357e-03 6.24000e+02  1.25874e+06 1.25874e+06 
2.56453e-03 6.24000e+02  1.29969e+06 1.29969e+06 
2.60550e-03 6.24000e+02  1.34130e+06 1.34130e+06 
2.64648e-03 6.24000e+02  1.38356e+06 1.38356e+06 
2.68747e-03 6.24000e+02  1.42647e+06 1.42647e+06 
2.72846e-03 6.24000e+02  1.47004e+06 1.47004e+06 
2.76947e-03 6.24000e+02  1.51427e+06 1.51427e+06 
2.81048e-03 6.24000e+02  1.55916e+06 1.55916e+06 
2.85150e-03 6.24000e+02  1.60470e+06 1.60470e+06 
2.89253e-03 6.24000e+02  1.65089e+06 1.65089e+06 
2.93357e-03 6.24000e+02  1.69775e+06 1.69775e+06 
2.97461e-03 6.24000e+02  1.74526e+06 1.74526e+06 
3.01566e-03 6.24000e+02  1.79342e+06 1.79342e+06 
3.05673e-03 6.24000e+02  1.84224e+06 1.84224e+06 
3.09780e-03 6.24000e+02  1.89172e+06 1.89172e+06 
3.13888e-03 6.24000e+02  1.94185e+06 1.94185e+06 
3.17996e-03 6.24000e+02  1.99265e+06 1.99265e+06 
3.22106e-03 6.24000e+02  2.04409e+06 2.04409e+06 
3.26216e-03 6.24000e+02  2.09620e+06 2.09620e+06 
3.30327e-03 6.24000e+02  2.14895e+06 2.14895e+06 
3.34439e-03 6.24000e+02  2.20237e+06 2.20237e+06 
3.38552e-03 6.24000e+02  2.25644e+06 2.25644e+06 
3.42666e-03 6.24000e+02  2.31117e+06 2.31117e+06 
3.46780e-03 6.24000e+02  2.36656e+06 2.36656e+06 
3.50896e-03 6.24000e+02  2.42260e+06 2.42260e+06 
3.55012e-03 6.24000e+02  2.47930e+06 2.47930e+06 
3.59129e-03 6.24000e+02  2.53665e+06 2.53665e+06 
3.63247e-03 6.24000e+02  2.59466e+06 2.59466e+06 
3.67366e-03 6.24000e+02  2.65333e+06 2.65333e+06 
3.71485e-03 6.24000e+02  2.71266e+06 2.71266e+06 
3.75605e-03 6.24000e+02  2.77264e+06 2.77264e+06 
3.79727e-03 6.24000e+02  2.83328e+06 2.83328e+06 
3.83849e-03 6.24000e+02  2.89457e+06 2.89457e+06 
3.87971e-03 6.24000e+02  2.95653e+06 2.95653e+06 
3.92095e-03 6.24000e+02  3.01913e+06 3.01913e+06 
3.96220e-03 6.24000e+02  3.08240e+06 3.08240e+06 
4.00345e-03 6.24000e+02  3.14632e+06 3.14632e+06 
4.04471e-03 6.24000e+02  3.21090e+06 3.21090e+06 
4.08598e-03 6.24000e+02  3.27614e+06 3.27614e+06 
4.12726e-03 6.24000e+02  3.34203e+06 3.34203e+06 
4.16855e-03 6.24000e+02  3.40858e+06 3.40858e+06 
4.20984e-03 6.24000e+02  3.47579e+06 3.47579e+06 
4.25115e-03 6.24000e+02  3.54365e+06 3.54365e+06 
4.29246e-03 6.24000e+02  3.61217e+06 3.61217e+06 
4.33378e-03 6.24000e+02  3.68135e+06 3.68135e+06 
4.37511e-03 6.24000e+02  3.75119e+06 3.75119e+06 
4.41644e-03 6.24000e+02  3.82168e+06 3.82168e+06 
4.45779e-03 6.24000e+02  3.89283e+06 3.89283e+06 
4.49914e-03 6.24000e+02  3.96463e+06 3.96463e+06 
4.54051e-03 6.24000e+02  4.03710e+06 4.03710e+06 
4.58188e-03 6.24000e+02  4.11022e+06 4.11022e+06 
4.62325e-03 6.24000e+02  4.18400e+06 4.18400e+06 
4.66464e-03 6.24000e+02  4.25843e+06 4.25843e+06 
4.70604e-03 6.24000e+02  4.33353e+06 4.33353e+06 
4.74744e-03 6.24000e+02  4.40928e+06 4.40928e+06 
4.78885e-03 6.24000e+02  4.48568e+06 4.48568e+06 
4.83027e-03 6.24000e+02  4.56275e+06 4.56275e+06 
4.87170e-03 6.24000e+02  4.64047e+06 4.64047e+06 
4.91314e-03 6.24000e+02  4.71885e+06 4.71885e+06 
4.95459e-03 6.24000e+02  4.79789e+06 4.79789e+06 
